edge_start_node,edge_end_node,visible_segments
0,1,
0,2,
0,11,
0,12,
0,13,
0,25,
1,0,
1,2,
1,3,
1,12,
1,13,49
1,14,48;49
1,26,49
2,0,
2,1,
2,3,
2,4,
2,13,49
2,14,48;49
2,15,48;49;46;47
2,27,48;49
3,1,
3,2,
3,4,
3,5,
3,14,48;49;47
3,15,48;49;46;47
3,16,48;46;47
3,28,48;49;46;47
4,2,
4,3,
4,5,
4,6,
4,15,48;49;46;47
4,16,46;47
4,17,46
4,29,43;46;47
5,3,
5,4,
5,6,
5,7,
5,16,46;47
5,17,46
5,18,38
5,30,41;42;43;46
6,4,
6,5,
6,7,
6,8,
6,17,
6,18,37;38
6,19,36;37;38
6,31,41;42;37;38
7,5,
7,6,
7,8,
7,9,
7,18,37;38
7,19,36;37;38
7,20,36;37
7,32,36;37;38
8,6,
8,7,
8,9,
8,10,
8,19,36;37;38
8,20,36;37
8,21,36
8,33,36;37
9,7,
9,8,
9,10,
9,20,36;37
9,21,
9,22,
9,34,
10,8,
10,9,
10,21,
10,22,
10,23,
10,35,35
11,0,
11,12,
11,13,
11,24,
11,25,
11,37,
12,0,
12,1,
12,11,
12,13,
12,14,48;49
12,24,
12,25,
12,26,
12,38,0;1
13,0,
13,1,49
13,2,49
13,11,
13,12,
13,14,48;49
13,15,48;49;46;47
13,25,
13,26,
13,27,49
13,39,0
14,1,48;49
14,2,48;49
14,3,48;49;47
14,12,48;49
14,13,48;49
14,15,48;49;46;47
14,16,48;49;46;47
14,26,48;49
14,27,48;49
14,28,48;49;47
15,2,48;49;46;47
15,3,48;49;46;47
15,4,48;49;46;47
15,13,48;49;46;47
15,14,48;49;46;47
15,16,48;49;46;47
15,17,48;49;46;47
15,27,48;49;46;47
15,28,48;49;46;47
15,29,43;46;47;48;49
16,3,48;46;47
16,4,46;47
16,5,46;47
16,14,48;49;46;47
16,15,48;49;46;47
16,17,46;47
16,18,46;38;47
16,28,48;46;47
16,29,43;46;47
16,30,41;42;43;46;47
17,4,46
17,5,46
17,6,
17,15,48;49;46;47
17,16,46;47
17,18,38
17,19,36;37;38
17,29,43;46
17,30,41;42;43
17,31,41;42
17,40,39;41;42;43;45
18,5,38
18,6,37;38
18,7,37;38
18,16,46;38;47
18,17,38
18,19,36;37;38
18,20,36;37;38
18,30,41;42;43;38
18,31,41;42;38
18,32,37;38
19,6,36;37;38
19,7,36;37;38
19,8,36;37;38
19,17,36;37;38
19,18,36;37;38
19,20,36;37;38
19,21,36;37;38
19,31,36;37;38;41;42
19,32,36;37;38
19,33,36;37;38
20,7,36;37
20,8,36;37
20,9,36;37
20,18,36;37;38
20,19,36;37;38
20,21,36;37
20,22,36;37
20,32,36;37
20,33,36;37
20,34,36;37
21,8,36
21,9,
21,10,
21,19,36;37;38
21,20,36;37
21,22,
21,23,
21,33,36
21,34,
21,35,35
21,43,35
22,9,
22,10,
22,20,36;37
22,21,
22,23,
22,34,
22,35,35
22,36,
22,44,34;35
23,10,
23,21,
23,22,
23,35,35
23,36,
23,45,
24,11,
24,12,
24,25,0
24,26,0
24,37,
24,38,0;1
24,46,
25,0,
25,11,
25,12,
25,13,
25,24,0
25,26,
25,27,49
25,37,0
25,38,0;1
25,39,0
25,47,0;1
26,1,49
26,12,
26,13,
26,14,48;49
26,24,0
26,25,
26,27,49
26,28,48;49;47
26,38,0;1
26,39,0
26,48,0;1;4;5;8
27,2,48;49
27,13,49
27,14,48;49
27,15,48;49;46;47
27,25,49
27,26,49
27,28,48;49;47
27,29,43;46;47;48;49
27,39,0;49
28,3,48;49;46;47
28,14,48;49;47
28,15,48;49;46;47
28,16,48;46;47
28,26,48;49;47
28,27,48;49;47
28,29,48;43;46;47
28,30,39;41;42;43;46;47;48
29,4,43;46;47
29,15,43;46;47;48;49
29,16,43;46;47
29,17,43;46
29,27,43;46;47;48;49
29,28,48;43;46;47
29,30,39;41;42;43;46
29,31,39;41;42;43;46
29,40,39;42;43;45;46
30,5,41;42;43;46
30,16,41;42;43;46;47
30,17,41;42;43
30,18,41;42;43;38
30,28,39;41;42;43;46;47;48
30,29,39;41;42;43;46
30,31,41;42;43
30,32,37;38;41;42;43;45
30,40,39;41;42;43;45
31,6,41;42;37;38
31,17,41;42
31,18,41;42;38
31,19,36;37;38;41;42
31,29,39;41;42;43;46
31,30,41;42;43
31,32,37;38;41;42;45
31,33,36;37;38;41;42;45
31,40,39;41;42;43;45
32,7,36;37;38
32,18,37;38
32,19,36;37;38
32,20,36;37
32,30,37;38;41;42;43;45
32,31,37;38;41;42;45
32,33,36;37
32,34,36;37
33,8,36;37
33,19,36;37;38
33,20,36;37
33,21,36
33,31,36;37;38;41;42;45
33,32,36;37
33,34,36
33,35,35;36
33,43,35;36
34,9,
34,20,36;37
34,21,
34,22,
34,32,36;37
34,33,36
34,35,35
34,36,35
34,43,35
34,44,34;35
34,54,33;34;35
35,10,35
35,21,35
35,22,35
35,23,35
35,33,35;36
35,34,35
35,36,35
35,43,35
35,44,34;35
35,45,35
35,55,33;34;35
36,22,
36,23,
36,34,35
36,35,35
36,44,34;35
36,45,
36,56,
37,11,
37,24,
37,25,0
37,38,0;1
37,39,0;1
37,46,
37,47,0;1
37,57,
38,12,0;1
38,24,0;1
38,25,0;1
38,26,0;1
38,37,0;1
38,39,0;1
38,46,0;1
38,47,0;1
38,48,0;1;4;5;8
38,58,0;1
39,13,0
39,25,0
39,26,0
39,27,0;49
39,37,0;1
39,38,0;1
39,47,0;1
39,48,0;1;4;5;8
39,59,0;1;4;5;6;8
40,17,39;41;42;43;45
40,29,39;42;43;45;46
40,30,39;41;42;43;45
40,31,39;41;42;43;45
43,21,35
43,33,35;36
43,34,35
43,35,35
43,44,34;35
43,45,34;35
43,54,33;34;35
43,55,33;34;35
43,64,33;34;35;29;30
44,22,34;35
44,34,34;35
44,35,34;35
44,36,34;35
44,43,34;35
44,45,34;35
44,54,33;34;35
44,55,33;34;35
44,56,34;35
44,65,33;34;35
45,23,
45,35,35
45,36,
45,43,34;35
45,44,34;35
45,55,33;34;35
45,56,
45,66,
46,24,
46,37,
46,38,0;1
46,47,0;1
46,48,0;1;4;5;8
46,57,
46,58,1
46,67,
47,25,0;1
47,37,0;1
47,38,0;1
47,39,0;1
47,46,0;1
47,48,0;1;4;5;8
47,57,0;1
47,58,0;1
47,59,0;1;4;5;6
47,68,0;1;10;9
48,26,0;1;4;5;8
48,38,0;1;4;5;8
48,39,0;1;4;5;8
48,46,0;1;4;5;8
48,47,0;1;4;5;8
48,58,8;1;4;5
48,59,1;4;5;6;8
48,60,1;2;4;5;6;8
48,69,1;2;4;5;6;8;9
54,34,33;34;35
54,43,33;34;35
54,44,33;34;35
54,55,33;34;35
54,56,33;34;35
54,63,33;34;26;29;30
54,64,33;34;29;30
54,65,33;34
54,72,33;34;28;29;30
55,35,33;34;35
55,43,33;34;35
55,44,33;34;35
55,45,33;34;35
55,54,33;34;35
55,56,33;34;35
