segment_idx,visible_edges
0,"51,52;52,51"
1,"51,52;51,66;51,67;51,68;51,81;52,51;66,51;66,68;67,51;67,68;68,51;68,66;68,67;81,51"
2,"51,52;51,66;51,67;51,68;51,81;52,51;66,51;67,51;68,51;81,51"
3,"51,52;51,68;52,51;68,51"
4,"51,52;51,67;51,68;51,81;52,51;67,51;68,51;81,51"
5,"51,52;51,66;51,67;51,68;51,81;52,51;65,67;66,51;66,67;66,68;67,51;67,65;67,66;67,68;67,80;67,81;67,82;67,96;68,51;68,66;68,67;80,67;81,51;81,67;82,67;96,67"
6,"51,66;51,67;51,68;51,81;65,67;66,51;66,67;66,68;66,81;67,51;67,65;67,66;67,68;67,80;67,81;67,82;67,96;68,51;68,66;68,67;80,67;81,51;81,66;81,67;82,67;96,67"
7,"51,66;51,67;51,81;65,66;65,67;66,51;66,65;66,67;66,68;66,79;66,80;66,81;67,51;67,65;67,66;67,68;67,80;67,81;67,82;67,96;68,66;68,67;79,66;80,66;80,67;81,51;81,66;81,67;82,67;96,67"
8,"51,66;65,66;65,67;65,80;66,51;66,65;66,67;66,68;66,79;66,80;66,81;67,65;67,66;68,66;79,66;80,65;80,66;81,66"
9,"65,66;65,67;65,79;65,80;65,95;66,51;66,65;66,67;66,68;66,79;66,80;66,81;67,65;67,66;68,66;77,79;78,79;78,80;79,65;79,66;79,77;79,78;79,80;79,81;79,94;79,95;80,65;80,66;80,78;80,79;81,66;81,79;94,79;95,65;95,79"
10,"65,78;65,79;65,80;65,95;66,79;77,79;78,65;78,79;78,80;79,65;79,66;79,77;79,78;79,80;79,81;79,94;79,95;80,65;80,78;80,79;81,79;94,79;95,65;95,79"
11,"64,78;65,78;65,79;65,95;66,79;76,78;77,78;77,79;78,64;78,65;78,76;78,77;78,79;78,80;78,93;78,94;78,95;78,110;79,65;79,66;79,77;79,78;79,80;79,81;79,94;79,95;80,78;80,79;81,79;93,78;94,78;94,79;95,65;95,78;95,79;110,78"
12,"49,64;62,64;63,64;63,77;64,49;64,62;64,63;64,76;64,77;64,78;76,64;76,77;76,78;77,63;77,64;77,76;77,78;77,79;77,92;77,94;78,64;78,76;78,77;79,77;92,77;94,77"
13,"49,64;62,64;63,64;63,77;64,49;64,62;64,63;64,76;64,77;64,78;76,64;77,63;77,64;78,64"
14,"25,49;36,49;37,49;37,63;38,49;47,49;48,49;49,25;49,36;49,37;49,38;49,47;49,48;49,62;49,63;49,64;49,76;62,49;62,64;63,37;63,49;63,64;64,49;64,62;64,63;64,76;64,77;64,78;76,49;76,64;77,64;78,64"
15,"25,49;36,49;37,49;37,63;38,49;47,49;48,49;49,25;49,36;49,37;49,38;49,47;49,48;49,62;49,63;49,64;49,76;62,49;63,37;63,49;64,49;76,49"
16,"13,37;14,38;24,37;25,37;25,38;25,49;26,37;26,38;27,38;35,37;36,37;36,38;37,13;37,24;37,25;37,26;37,35;37,36;37,38;37,48;37,49;37,63;38,14;38,25;38,26;38,27;38,36;38,37;38,49;48,37;49,25;49,37;49,38;63,37"
17,"13,26;14,26;14,38;15,26;24,26;25,26;25,27;25,38;26,13;26,14;26,15;26,24;26,25;26,27;26,28;26,37;26,38;27,25;27,26;27,38;28,26;36,38;37,26;37,38;38,14;38,25;38,26;38,27;38,36;38,37;38,49;49,38"
18,"5,27;14,27;14,38;15,27;16,27;25,27;26,27;26,28;26,38;27,5;27,14;27,15;27,16;27,25;27,26;27,28;27,38;28,26;28,27;38,14;38,26;38,27"
19,"5,27;14,27;15,27;15,28;16,27;25,27;26,27;26,28;27,5;27,14;27,15;27,16;27,25;27,26;27,28;27,38;28,15;28,26;28,27;38,27"
20,"5,27;6,28;14,27;15,27;15,28;16,27;16,28;17,28;25,27;26,27;26,28;27,5;27,14;27,15;27,16;27,25;27,26;27,28;27,38;28,6;28,15;28,16;28,17;28,26;28,27;38,27"
21,"5,16;6,16;6,28;7,16;14,16;15,16;15,17;15,28;16,5;16,6;16,7;16,14;16,15;16,17;16,18;16,27;16,28;17,15;17,16;17,28;18,16;26,28;27,16;27,28;28,6;28,15;28,16;28,17;28,26;28,27"
22,"0,17;5,16;6,16;6,17;6,28;7,16;7,17;8,17;14,16;15,16;15,17;15,28;16,5;16,6;16,7;16,14;16,15;16,17;16,18;16,27;16,28;17,0;17,6;17,7;17,8;17,15;17,16;17,18;17,28;18,16;18,17;27,16;28,6;28,15;28,16;28,17"
23,"0,17;6,17;7,17;8,17;15,17;16,17;16,18;17,0;17,6;17,7;17,8;17,15;17,16;17,18;17,28;18,7;18,16;18,17;28,17"
24,"0,17;1,18;6,17;7,17;7,18;8,17;8,18;15,17;16,17;16,18;17,0;17,6;17,7;17,8;17,15;17,16;17,18;17,28;18,1;18,7;18,8;18,16;18,17;28,17"
25,"0,17;1,18;6,17;7,17;7,18;8,17;8,18;9,18;15,17;16,17;16,18;17,0;17,6;17,7;17,8;17,15;17,16;17,18;17,28;18,1;18,7;18,8;18,9;18,16;18,17;28,17"
26,"0,8;1,8;1,18;2,8;6,8;7,8;7,9;7,18;8,0;8,1;8,2;8,6;8,7;8,9;8,10;8,17;8,18;9,7;9,8;9,18;10,8;17,8;18,1;18,7;18,8;18,9"
27,"1,9;2,9;3,9;3,20;7,9;8,9;8,10;9,1;9,2;9,3;9,7;9,8;9,10;9,11;9,18;9,20;10,8;10,9;10,20;10,29;11,9;18,9;20,3;20,9;20,10;29,10"
28,"3,20;9,20;10,20;10,21;10,29;11,20;20,3;20,9;20,10;20,11;20,21;20,22;20,29;20,30;21,10;21,20;21,29;22,20;29,10;29,20;29,21;30,20"
29,"3,20;9,20;10,20;10,29;11,20;11,30;20,3;20,9;20,10;20,11;20,21;20,22;20,29;20,30;21,20;21,29;21,30;21,40;22,20;29,10;29,20;29,21;29,30;29,31;30,11;30,20;30,21;30,29;31,29;40,21"
30,"11,30;20,30;21,29;21,30;21,40;22,30;29,21;29,30;29,31;29,40;30,11;30,20;30,21;30,22;30,29;30,31;30,32;30,40;30,41;30,53;31,29;31,30;32,30;40,21;40,29;40,30;41,30;53,30"
31,"11,30;20,30;21,30;21,40;22,30;29,30;29,31;29,40;30,11;30,20;30,21;30,22;30,29;30,31;30,32;30,40;30,41;30,53;31,29;31,30;31,40;32,30;40,21;40,29;40,30;40,31;40,41;40,42;41,30;41,40;42,40;53,30"
32,"11,30;20,30;21,30;21,40;22,30;29,30;29,31;29,40;30,11;30,20;30,21;30,22;30,29;30,31;30,32;30,40;30,41;30,53;31,29;31,30;31,40;32,30;40,21;40,29;40,30;40,31;40,41;40,42;40,53;40,54;41,30;41,40;41,53;42,40;53,30;53,40;53,41;54,40"
33,"21,40;29,40;30,40;30,41;30,53;31,40;40,21;40,29;40,30;40,31;40,41;40,42;40,53;40,54;41,30;41,40;41,53;42,40;53,30;53,40;53,41;54,40"
34,"30,53;31,54;40,41;40,42;40,53;40,54;41,40;41,53;41,54;41,69;42,40;42,54;53,30;53,40;53,41;53,54;53,55;54,31;54,40;54,41;54,42;54,53;54,55;54,56;54,69;54,70;54,84;55,53;55,54;56,54;69,41;69,54;70,54;84,54"
35,"31,54;40,54;41,53;41,54;41,69;42,54;53,41;53,54;53,55;53,69;54,31;54,40;54,41;54,42;54,53;54,55;54,56;54,69;54,70;54,84;55,53;55,54;55,69;56,54;69,41;69,53;69,54;69,55;70,54;84,54"
36,"31,54;40,54;41,54;41,69;42,54;53,54;53,55;53,69;54,31;54,40;54,41;54,42;54,53;54,55;54,56;54,69;54,70;54,84;55,53;55,54;55,69;56,54;69,41;69,53;69,54;69,55;69,70;69,71;69,83;69,84;69,85;69,100;70,54;70,69;71,69;83,69;84,54;84,69;85,69;100,69"
37,"54,84;69,83;69,84;69,85;69,100;70,84;83,69;83,84;83,85;83,100;84,54;84,69;84,70;84,83;84,85;84,86;84,99;84,100;84,101;84,116;85,69;85,83;85,84;86,84;99,84;100,69;100,83;100,84;101,84;116,84"
38,"54,84;69,83;69,84;69,100;70,84;83,69;83,84;83,85;83,98;83,99;83,100;83,115;84,54;84,69;84,70;84,83;84,85;84,86;84,99;84,100;84,101;84,116;85,83;85,84;86,84;98,83;99,83;99,84;100,69;100,83;100,84;101,84;115,83;116,84"
39,"69,83;83,69;83,84;83,85;83,98;83,99;83,100;83,115;84,83;84,99;85,83;97,99;98,83;98,99;98,100;99,83;99,84;99,97;99,98;99,100;99,101;99,115;99,116;100,83;100,98;100,99;101,99;115,83;115,99;116,99"
40,"82,98;83,98;83,99;83,115;84,99;96,98;97,98;97,99;98,82;98,83;98,96;98,97;98,99;98,100;98,114;98,115;99,83;99,84;99,97;99,98;99,100;99,101;99,115;99,116;100,98;100,99;101,99;114,98;115,83;115,98;115,99;116,99"
41,"67,82;68,82;68,97;80,82;81,82;81,97;82,67;82,68;82,80;82,81;82,96;82,97;82,98;82,114;96,82;96,97;96,98;97,68;97,81;97,82;97,96;97,98;97,99;97,113;97,114;98,82;98,96;98,97;99,97;113,97;114,82;114,97"
42,"67,82;68,81;68,82;68,97;80,82;81,68;81,82;81,97;82,67;82,68;82,80;82,81;82,96;82,97;82,98;82,114;96,82;97,68;97,81;97,82;98,82;114,82"
43,"51,67;51,81;65,67;66,67;66,68;67,51;67,65;67,66;67,68;67,80;67,81;67,82;67,96;68,66;68,67;68,81;68,82;68,97;80,67;80,82;81,51;81,67;81,68;81,82;82,67;82,68;82,80;82,81;82,96;82,97;82,98;82,114;96,67;96,82;97,68;97,82;98,82;114,82"
44,"51,67;51,81;65,67;66,67;66,68;67,51;67,65;67,66;67,68;67,80;67,81;67,82;67,96;68,66;68,67;68,81;80,67;81,51;81,67;81,68;82,67;96,67"
45,"51,66;51,67;51,68;51,81;65,67;66,51;66,67;66,68;67,51;67,65;67,66;67,68;67,80;67,81;67,82;67,96;68,51;68,66;68,67;68,81;80,67;81,51;81,67;81,68;82,67;96,67"
46,"125,148;135,146;135,147;135,148;135,159;136,147;136,148;136,160;146,147;146,148;147,135;147,136;147,146;147,148;147,149;147,158;147,159;147,160;147,172;148,125;148,135;148,136;148,146;148,147;149,147;158,147;159,135;159,147;160,136;160,147;172,147"
47,"135,146;135,147;135,148;135,159;136,147;146,135;146,147;146,148;146,159;147,135;147,136;147,146;147,148;147,149;147,158;147,159;147,160;147,172;148,135;148,146;148,147;149,147;158,147;159,135;159,146;159,147;160,147;172,147"
48,"135,146;135,147;135,159;136,147;146,135;146,147;146,148;146,157;146,158;146,159;146,171;147,135;147,136;147,146;147,148;147,149;147,158;147,159;147,160;147,172;148,146;148,147;149,147;157,146;158,146;158,147;159,135;159,146;159,147;160,147;171,146;172,147"
49,"135,146;146,135;146,147;146,148;146,157;146,158;146,159;146,171;147,146;147,158;148,146;156,158;157,146;157,158;157,159;158,146;158,147;158,156;158,157;158,159;158,160;158,170;158,171;158,172;159,146;159,157;159,158;160,158;170,158;171,146;171,158;172,158"
50,"146,157;146,158;146,171;155,157;156,157;156,158;157,146;157,155;157,156;157,158;157,159;157,169;157,170;157,171;157,182;158,146;158,156;158,157;159,157;169,157;170,157;171,146;171,157;182,157"
51,"146,157;155,157;156,157;156,158;156,170;157,146;157,155;157,156;157,158;157,159;157,169;157,170;157,171;157,182;158,156;158,157;159,157;169,157;170,156;170,157;171,157;182,157"
52,"146,157;155,157;156,157;156,158;156,169;156,170;156,181;157,146;157,155;157,156;157,158;157,159;157,169;157,170;157,171;157,182;158,156;158,157;159,157;169,156;169,157;170,156;170,157;171,157;181,156;182,157"
53,"144,168;154,156;155,156;155,157;155,167;155,168;155,169;155,180;156,154;156,155;156,157;156,158;156,168;156,169;156,170;156,181;157,155;157,156;157,169;158,156;167,155;168,144;168,155;168,156;169,155;169,156;169,157;170,156;180,155;181,156"
54,"142,144;143,144;143,155;144,142;144,143;144,154;144,155;144,168;153,155;154,144;154,155;154,156;155,143;155,144;155,153;155,154;155,156;155,157;155,167;155,168;155,169;155,180;156,154;156,155;157,155;167,155;168,144;168,155;169,155;180,155"
