edge_start_node,edge_end_node,visible_segments
0,1,
0,2,
0,11,
0,12,
0,13,
0,25,
1,0,
1,2,
1,3,
1,12,
1,13,
1,14,49
1,26,49
2,0,
2,1,
2,3,
2,4,
2,13,
2,14,49
2,15,48;47
2,27,48;49
3,1,
3,2,
3,4,
3,5,
3,14,49
3,15,48;47
3,16,46
3,28,48;49;46;47
4,2,
4,3,
4,5,
4,6,
4,15,48;47
4,16,46
4,17,
4,29,46;47
5,3,
5,4,
5,6,
5,7,
5,16,46
5,17,
5,18,
5,30,46;39
6,4,
6,5,
6,7,
6,8,
6,17,
6,18,
6,19,37
6,31,37;38
7,5,
7,6,
7,8,
7,9,
7,18,
7,19,37
7,20,36
7,32,36;37;38
8,6,
8,7,
8,9,
8,10,
8,19,37
8,20,36
8,21,
8,33,36;37
9,7,
9,8,
9,10,
9,20,36
9,21,
9,22,
9,34,
10,8,
10,9,
10,21,
10,22,
10,23,
10,35,
11,0,
11,12,
11,13,
11,24,
11,25,
11,37,
12,0,
12,1,
12,11,
12,13,
12,14,49
12,24,
12,25,
12,26,
12,38,0
13,0,
13,1,
13,2,
13,11,
13,12,
13,14,49
13,15,48;49;47
13,25,
13,26,49
13,27,48;49
13,39,0;1;49
14,1,49
14,2,49
14,3,49
14,12,49
14,13,49
14,15,48;49;47
14,16,48;49;46;47
14,26,49
14,27,48;49
14,28,48;49;47
15,2,48;47
15,3,48;47
15,4,48;47
15,13,48;49;47
15,14,48;49;47
15,16,48;46;47
15,17,48;46;47
15,27,48;49;47
15,28,48;49;46;47
15,29,48;46;47
16,3,46
16,4,46
16,5,46
16,14,48;49;46;47
16,15,48;46;47
16,17,46
16,18,46
16,28,48;46;47
16,29,46;47
16,30,46;39
17,4,
17,5,
17,6,
17,15,48;46;47
17,16,46
17,18,
17,19,37;38
17,29,46;47
17,30,46;39
17,31,38
17,40,39;40;41;42;43;44;45;46
18,5,
18,6,
18,7,
18,16,46
18,17,
18,19,37;38
18,20,36;37;38
18,30,38;39
18,31,37;38
18,32,36;37;38
19,6,37
19,7,37
19,8,37
19,17,37;38
19,18,37;38
19,20,36;37
19,21,36;37
19,31,37;38
19,32,36;37;38
19,33,36;37;38
20,7,36
20,8,36
20,9,36
20,18,36;37;38
20,19,36;37
20,21,36
20,22,36
20,32,36;37;38
20,33,36;37
20,34,36
21,8,
21,9,
21,10,
21,19,36;37
21,20,36
21,22,
21,23,
21,33,36
21,34,
21,35,
21,43,34;35
22,9,
22,10,
22,20,36
22,21,
22,23,
22,34,
22,35,
22,36,
22,44,
23,10,
23,21,
23,22,
23,35,
23,36,
23,45,
24,11,
24,12,
24,25,
24,26,0
24,37,
24,38,0
24,46,
25,0,
25,11,
25,12,
25,13,
25,24,
25,26,0
25,27,48;49;0
25,37,
25,38,0
25,39,0;1
25,47,0;1
26,1,49
26,12,
26,13,49
26,14,49
26,24,0
26,25,0
26,27,48;49
26,28,48;49;47
26,38,0
26,39,0;1
26,48,0;1
27,2,48;49
27,13,48;49
27,14,48;49
27,15,48;49;47
27,25,48;49;0
27,26,48;49
27,28,48;49;47
27,29,48;49;46;47
27,39,0;1;48;49
28,3,48;49;46;47
28,14,48;49;47
28,15,48;49;46;47
28,16,48;46;47
28,26,48;49;47
28,27,48;49;47
28,29,48;46;47
28,30,48;47;46;39
29,4,46;47
29,15,48;46;47
29,16,46;47
29,17,46;47
29,27,48;49;46;47
29,28,48;46;47
29,30,47;46;39
29,31,38;39;45;46;47
29,40,39;40;41;42;43;44;45;46;47
30,5,46;39
30,16,46;39
30,17,46;39
30,18,38;39
30,28,48;47;46;39
30,29,47;46;39
30,31,45;38;39
30,32,36;37;38;39;45
30,40,39;40;41;42;43;44;45
31,6,37;38
31,17,38
31,18,37;38
31,19,37;38
31,29,38;39;45;46;47
31,30,45;38;39
31,32,36;37;38
31,33,36;37;38
31,40,38;39;40;41;42;43;44;45
32,7,36;37;38
32,18,36;37;38
32,19,36;37;38
32,20,36;37;38
32,30,36;37;38;39;45
32,31,36;37;38
32,33,36;37;38
32,34,36;37;38
33,8,36;37
33,19,36;37;38
33,20,36;37
33,21,36
33,31,36;37;38
33,32,36;37;38
33,34,36
33,35,35;36
33,43,34;35;36
34,9,
34,20,36
34,21,
34,22,
34,32,36;37;38
34,33,36
34,35,35
34,36,35
34,43,34;35
34,44,35
34,54,33;34;35
35,10,
35,21,
35,22,
35,23,
35,33,35;36
35,34,35
35,36,
35,43,34;35
35,44,
35,45,
35,55,
36,22,
36,23,
36,34,35
36,35,
36,44,
36,45,
36,56,
37,11,
37,24,
37,25,
37,38,0
37,39,0;1
37,46,
37,47,1
37,57,
38,12,0
38,24,0
38,25,0
38,26,0
38,37,0
38,39,0;1
38,46,0
38,47,0;1
38,48,0;1
38,58,0;1
39,13,0;1;49
39,25,0;1
39,26,0;1
39,27,0;1;48;49
39,37,0;1
39,38,0;1
39,47,0;1
39,48,0;1
39,59,0;1;8
40,17,39;40;41;42;43;44;45;46
40,29,39;40;41;42;43;44;45;46;47
40,30,39;40;41;42;43;44;45
40,31,38;39;40;41;42;43;44;45
43,21,34;35
43,33,34;35;36
43,34,34;35
43,35,34;35
43,44,34;35
43,45,34;35
43,54,33;34;35
43,55,33;34;35
43,64,33;34;35
44,22,
44,34,35
44,35,
44,36,
44,43,34;35
44,45,
44,54,33;34;35
44,55,
44,56,
44,65,
45,23,
45,35,
45,36,
45,43,34;35
45,44,
45,55,
45,56,
45,66,
46,24,
46,37,
46,38,0
46,47,1
46,48,0;1
46,57,
46,58,
46,67,
47,25,0;1
47,37,1
47,38,0;1
47,39,0;1
47,46,1
47,48,0;1
47,57,1
47,58,1
47,59,1
47,68,1;9
48,26,0;1
48,38,0;1
48,39,0;1
48,46,0;1
48,47,0;1
48,58,1
48,59,8;1
48,60,1;2;3;4;5;6;7;8
48,69,8;1;2;9
54,34,33;34;35
54,43,33;34;35
54,44,33;34;35
54,55,33;34;35
54,56,33;34;35
54,63,32;33;34;35;26;29;30
54,64,33;34;35
54,65,33;34;35
54,72,25;34;35;33
55,35,
55,43,33;34;35
55,44,
55,45,
55,54,33;34;35
55,56,
55,64,33;34
55,65,
55,66,
55,73,
56,36,
56,44,
56,45,
56,54,33;34;35
56,55,
56,65,
56,66,
56,74,
57,37,
57,46,
57,47,1
57,58,
57,59,
57,67,
57,68,9
57,75,
58,38,0;1
58,46,
58,47,1
58,48,1
58,57,
58,59,
58,60,2;3;4;5;6;7;8
58,67,
58,68,9
58,69,9
58,76,9;10
59,39,0;1;8
59,47,1
59,48,8;1
59,57,
59,58,
59,60,2;3;4;5;6;7;8
59,68,9
59,69,9;2
59,77,2;9;10;11
60,48,1;2;3;4;5;6;7;8
60,58,2;3;4;5;6;7;8
60,59,2;3;4;5;6;7;8
60,69,2;3;4;5;6;7;8;9
62,63,32;26;27;29;30;31
62,64,32;33;26;27;29;30;31
62,70,32;26;27;31
62,71,32;26;27;28;29;30;31
