segment_idx,visible_edges
28,"32,59;33,60;49,51;50,51;50,52;50,59;50,60;50,69;51,49;51,50;51,59;51,60;51,70;52,50;59,32;59,50;59,51;59,60;59,61;59,69;59,70;59,84;60,33;60,50;60,51;60,52;60,59;60,61;60,69;60,70;60,71;60,85;61,59;61,60;69,50;69,59;69,60;70,51;70,59;70,60;84,59;85,60"
29,"32,59;50,59;50,60;50,69;51,59;51,70;59,32;59,50;59,51;59,60;59,61;59,69;59,70;59,84;60,50;60,59;60,69;60,70;60,85;61,59;69,50;69,59;69,60;69,70;69,71;70,51;70,59;70,60;70,69;71,69;84,59;85,60"
30,"50,69;51,70;59,60;59,61;59,69;59,70;59,84;60,59;60,69;60,70;60,85;61,59;69,50;69,59;69,60;69,70;69,71;69,84;69,85;69,98;70,51;70,59;70,60;70,61;70,69;70,71;70,84;70,85;70,86;70,99;71,69;71,70;84,59;84,69;84,70;85,60;85,69;85,70;98,69;99,70"
31,"50,69;59,69;59,70;59,84;60,69;60,85;69,50;69,59;69,60;69,70;69,71;69,84;69,85;69,98;70,59;70,69;70,84;70,85;70,99;71,69;84,59;84,69;84,70;84,85;84,86;85,60;85,69;85,70;85,84;86,84;98,69;99,70"
32,"59,84;60,85;69,70;69,71;69,84;69,85;69,98;70,69;70,84;70,85;70,99;71,69;84,59;84,69;84,70;84,85;84,86;84,98;84,99;84,110;85,60;85,69;85,70;85,71;85,84;85,86;85,98;85,99;85,100;85,111;86,84;86,85;98,69;98,84;98,85;99,70;99,84;99,85;110,84;111,85"
33,"59,84;69,84;69,85;69,98;70,84;70,99;84,59;84,69;84,70;84,85;84,86;84,98;84,99;84,110;85,69;85,84;85,98;85,99;85,111;86,84;98,69;98,84;98,85;98,99;98,100;99,70;99,84;99,85;99,98;100,98;110,84;111,85"
34,"69,98;70,99;84,85;84,86;84,98;84,99;84,110;85,84;85,98;85,99;85,111;86,84;98,69;98,84;98,85;98,99;98,100;98,110;98,111;98,128;99,70;99,84;99,85;99,86;99,98;99,100;99,110;99,111;99,112;99,129;100,98;100,99;110,84;110,98;110,99;111,85;111,98;111,99;128,98;129,99"
35,"69,98;84,98;84,99;84,110;85,98;85,111;98,69;98,84;98,85;98,99;98,100;98,110;98,111;98,128;99,84;99,98;99,110;99,111;99,129;100,98;110,84;110,98;110,99;110,111;110,112;111,85;111,98;111,99;111,110;112,110;128,98;129,99"
36,"84,110;85,111;98,99;98,100;98,110;98,111;98,128;99,98;99,110;99,111;99,129;100,98;110,84;110,98;110,99;110,111;110,112;110,128;110,129;110,141;111,85;111,98;111,99;111,100;111,110;111,112;111,128;111,129;111,130;111,142;112,110;112,111;128,98;128,110;128,111;129,99;129,110;129,111;141,110;142,111"
37,"98,128;110,128;110,141;111,128;126,128;127,128;127,129;127,140;127,141;127,153;128,98;128,110;128,111;128,126;128,127;128,129;128,130;128,140;128,141;128,142;128,154;129,127;129,128;130,128;140,127;140,128;141,110;141,127;141,128;142,128;153,127;154,128"
38,"125,127;126,127;126,128;126,140;127,125;127,126;127,128;127,129;127,139;127,140;127,141;127,153;128,126;128,127;128,140;129,127;139,127;140,126;140,127;140,128;141,127;153,127"
39,"124,126;125,126;125,127;126,109;126,124;126,125;126,127;126,128;126,139;126,140;126,152;127,125;127,126;127,128;127,129;127,139;127,140;127,141;127,153;128,126;128,127;129,127;139,126;139,127;140,126;140,127;141,127;152,126;153,127"
40,"109,126;124,126;125,126;125,127;125,139;126,109;126,124;126,125;126,127;126,128;126,139;126,140;126,152;127,125;127,126;127,139;128,126;139,125;139,126;139,127;140,126;152,126"
41,"82,109;96,109;97,109;97,125;107,109;108,109;108,125;109,82;109,96;109,97;109,107;109,108;109,124;109,125;109,126;123,125;124,109;124,125;124,126;125,97;125,108;125,109;125,123;125,124;125,126;125,127;125,139;126,109;126,124;126,125;127,125"
42,"82,109;95,97;96,97;96,109;97,95;97,96;97,108;97,109;97,125;107,109;108,97;108,109;109,82;109,96;109,97;109,107;109,108;109,124;109,125;109,126;124,109;125,97;125,109"
43,"81,97;82,96;82,97;82,109;95,97;96,82;96,97;96,109;97,81;97,82;97,95;97,96;97,108;97,109;97,125;108,97;109,82;109,96;109,97;125,97"
44,"80,82;81,82;81,83;81,97;82,80;82,81;82,96;82,97;82,109;83,81;95,97;96,82;96,97;97,81;97,82;97,95;97,96;97,108;97,109;97,125;108,97;109,82;109,97;125,97"
45,"80,82;81,82;81,83;81,97;82,80;82,81;82,83;82,96;82,97;82,109;83,81;83,82;95,97;96,82;96,97;97,81;97,82;97,95;97,96;109,82"
46,"104,137;117,136;118,136;118,137;118,149;119,136;119,137;119,150;120,137;134,136;135,136;135,137;136,117;136,118;136,119;136,134;136,135;136,137;136,138;136,148;136,149;136,150;136,157;137,104;137,118;137,119;137,120;137,135;137,136;137,138;137,149;137,150;137,151;137,158;138,136;138,137;149,118;149,136;150,119;150,137;157,136;158,137"
47,"117,136;118,135;118,136;118,137;118,149;119,136;134,136;135,118;135,136;135,137;136,117;136,118;136,119;136,134;136,135;136,137;136,138;136,148;136,149;136,150;136,157;137,118;137,135;137,136;138,136;149,118;149,136;157,136"
48,"116,135;117,135;117,136;117,148;118,135;118,136;118,149;119,136;133,135;134,135;134,136;135,116;135,117;135,118;135,133;135,134;135,136;135,137;135,147;135,148;135,149;136,117;136,118;136,119;136,134;136,135;136,137;136,138;136,148;136,149;136,150;136,157;137,135;137,136;138,136;148,117;148,135;149,118;149,136;157,136"
49,"116,135;117,134;117,135;117,136;117,148;118,135;133,135;134,117;134,135;134,136;135,116;135,117;135,118;135,133;135,134;135,136;135,137;135,147;135,148;135,149;136,117;136,134;136,135;137,135;148,117;148,135"
50,"115,134;116,134;116,135;116,147;117,134;117,135;117,148;118,135;132,134;133,134;133,135;134,115;134,116;134,117;134,132;134,133;134,135;134,136;134,146;134,147;134,148;135,116;135,117;135,118;135,133;135,134;135,136;135,137;135,147;135,148;135,149;136,134;136,135;137,135;147,116;147,134;148,117;148,135"
51,"115,134;116,133;116,134;116,135;116,147;117,134;132,134;133,116;133,134;133,135;134,115;134,116;134,117;134,132;134,133;134,135;134,136;134,146;134,147;134,148;135,116;135,133;135,134;136,134;147,116;147,134"
52,"115,133;115,134;115,146;116,133;116,134;116,147;117,134;131,133;132,133;132,134;133,114;133,115;133,116;133,131;133,132;133,134;133,135;133,145;133,146;133,147;134,115;134,116;134,117;134,132;134,133;134,135;134,136;134,146;134,147;134,148;135,133;135,134;136,134;146,115;146,133;147,116;147,134"
53,"88,114;102,114;102,132;113,114;113,115;114,88;114,101;114,102;114,113;114,115;114,116;114,131;114,132;114,133;114,145;115,102;115,113;115,114;115,116;115,117;115,132;115,133;115,134;115,146;116,114;116,115;117,115;131,133;132,102;132,114;132,115;132,133;132,134;133,114;133,115;133,116;133,131;133,132;133,134;133,135;133,145;133,146;133,147;134,132;134,133;135,133;145,114;146,115;146,133"
54,"73,102;88,102;88,114;101,102;101,114;102,73;102,87;102,88;102,101;102,113;102,114;102,115;102,132;113,102;113,114;113,115;114,88;114,101;114,102;114,113;114,115;114,116;114,131;114,132;114,133;114,145;115,102;115,113;115,114;116,114;132,102;132,114;145,114"
55,"73,102;87,102;88,102;88,114;101,102;102,73;102,87;102,88;102,101;102,113;102,114;102,115;102,132;113,102;114,88;114,102;115,102;132,102"
56,"63,88;73,88;73,102;87,88;87,102;88,63;88,72;88,73;88,87;88,101;88,102;88,114;101,88;101,102;102,73;102,87;102,88;102,101;102,113;102,114;102,115;102,132;114,88;114,102;132,102"
57,"63,88;72,88;73,88;73,102;87,88;88,63;88,72;88,73;88,87;88,101;88,102;88,114;101,88;102,73;102,88;114,88"
58,"54,73;63,73;63,88;72,73;72,88;73,54;73,62;73,63;73,72;73,87;73,88;73,102;87,73;87,88;88,63;88,72;88,73;88,87;88,101;88,102;88,114;102,73;102,88;114,88"
59,"54,73;62,73;63,73;63,88;72,73;73,54;73,62;73,63;73,72;73,87;73,88;73,102;88,63;88,73;102,73"
60,"36,63;54,63;54,73;62,63;62,73;63,36;63,53;63,54;63,62;63,72;63,73;63,88;72,63;72,73;73,54;73,62;73,63;73,72;73,87;73,88;73,102;88,63;88,73;102,73"
61,"36,63;53,63;54,63;54,73;62,63;63,36;63,53;63,54;63,62;63,72;63,73;63,88;73,54;73,63;88,63"
