segment_idx,visible_edges
0,"15,55;33,55;34,55;35,55;53,55;54,55;54,56;55,15;55,33;55,34;55,35;55,53;55,54;55,56;55,57;55,67;56,54;56,55;57,55;67,55"
1,"14,54;15,55;33,54;33,55;34,54;34,55;52,54;53,54;53,55;54,14;54,32;54,33;54,34;54,52;54,53;54,55;54,56;55,15;55,33;55,34;55,35;55,53;55,54;55,56;55,57;55,67;56,54;56,55;57,55"
2,"14,54;32,54;33,54;34,54;52,54;53,54;53,55;54,14;54,32;54,33;54,34;54,52;54,53;54,55;54,56;55,53;55,54;56,54"
3,"13,53;14,54;32,53;32,54;33,53;33,54;51,53;52,53;52,54;53,13;53,31;53,32;53,33;53,51;53,52;53,54;53,55;54,14;54,32;54,33;54,34;54,52;54,53;54,55;54,56;55,53;55,54;56,54"
4,"13,53;31,53;32,53;33,53;51,53;52,53;52,54;53,13;53,31;53,32;53,33;53,51;53,52;53,54;53,55;54,52;54,53;55,53"
5,"12,52;13,53;31,52;31,53;32,52;32,53;50,52;51,52;51,53;52,12;52,30;52,31;52,32;52,50;52,51;52,53;52,54;53,13;53,31;53,32;53,33;53,51;53,52;53,54;53,55;54,52;54,53;55,53"
6,"12,52;30,52;31,52;32,52;50,52;51,52;51,53;52,12;52,30;52,31;52,32;52,50;52,51;52,53;52,54;53,51;53,52;54,52"
7,"11,51;12,52;30,51;30,52;31,51;31,52;49,51;50,51;50,52;51,11;51,29;51,30;51,31;51,49;51,50;51,52;51,53;52,12;52,30;52,31;52,32;52,50;52,51;52,53;52,54;53,51;53,52;54,52"
8,"11,51;29,51;30,51;31,51;49,51;50,51;50,52;51,11;51,29;51,30;51,31;51,49;51,50;51,52;51,53;52,50;52,51;53,51"
9,"10,50;11,51;29,50;29,51;30,50;30,51;48,50;49,50;49,51;50,10;50,28;50,29;50,30;50,48;50,49;50,51;50,52;51,11;51,29;51,30;51,31;51,49;51,50;51,52;51,53;52,50;52,51;53,51"
10,"10,50;28,50;29,50;30,50;48,50;49,50;49,51;50,10;50,28;50,29;50,30;50,48;50,49;50,51;50,52;51,49;51,50;52,50"
11,"9,49;10,50;28,49;28,50;29,49;29,50;47,49;48,49;48,50;49,9;49,27;49,28;49,29;49,47;49,48;49,50;49,51;50,10;50,28;50,29;50,30;50,48;50,49;50,51;50,52;51,49;51,50;52,50"
12,"9,49;27,49;28,49;29,49;47,49;48,49;48,50;49,9;49,27;49,28;49,29;49,47;49,48;49,50;49,51;50,48;50,49;51,49"
