segment_idx,visible_edges
13,"8,48;9,49;27,48;27,49;28,48;28,49;46,48;47,48;47,49;48,8;48,26;48,27;48,28;48,46;48,47;48,49;48,50;49,9;49,27;49,28;49,29;49,47;49,48;49,50;49,51;50,48;50,49;51,49"
14,"8,48;26,48;27,48;28,48;46,48;47,48;47,49;48,8;48,26;48,27;48,28;48,46;48,47;48,49;48,50;49,47;49,48;50,48"
15,"7,47;8,48;26,47;26,48;27,47;27,48;45,47;46,47;46,48;47,7;47,25;47,26;47,27;47,45;47,46;47,48;47,49;47,66;48,8;48,26;48,27;48,28;48,46;48,47;48,49;48,50;49,47;49,48;50,48"
16,
17,"25,66;45,66;46,66;46,80;64,66;65,66;65,80;66,25;66,45;66,46;66,47;66,64;66,65;66,79;66,80;66,96;78,80;79,66;79,80;80,46;80,65;80,66;80,78;80,79;80,95;80,96;80,116;96,66;96,80;116,80"
18,"25,66;46,66;46,80;64,66;65,66;65,80;66,25;66,45;66,46;66,47;66,64;66,65;66,79;66,80;66,96;78,80;79,66;79,80;80,46;80,65;80,66;80,78;80,79;80,95;80,96;80,116;95,80;96,66;96,80;116,80"
19,"46,80;65,80;66,80;66,96;78,80;79,80;79,96;80,46;80,65;80,66;80,78;80,79;80,95;80,96;80,116;94,96;95,80;95,96;96,66;96,79;96,80;96,94;96,95;96,115;96,116;96,136;116,80;116,96;136,96"
20,"46,80;66,80;66,96;78,80;79,80;79,96;80,46;80,65;80,66;80,78;80,79;80,95;80,96;80,116;94,96;95,80;95,96;96,66;96,79;96,80;96,94;96,95;96,115;96,116;96,136;115,96;116,80;116,96;136,96"
21,"66,96;79,96;80,96;80,116;94,96;95,96;95,116;96,66;96,79;96,80;96,94;96,95;96,115;96,116;96,136;114,116;115,96;115,116;116,80;116,95;116,96;116,114;116,115;116,135;116,136;116,137;116,163;136,96;136,116;163,116"
22,"66,96;80,96;80,116;94,96;95,96;95,116;96,66;96,79;96,80;96,94;96,95;96,115;96,116;96,136;114,116;115,96;115,116;116,80;116,95;116,96;116,114;116,115;116,135;116,136;116,137;116,163;135,116;136,96;136,116;137,116;163,116"
23,"80,116;95,116;96,116;96,136;114,116;115,116;115,136;116,80;116,95;116,96;116,114;116,115;116,135;116,136;116,137;116,163;134,136;135,116;135,136;135,137;136,96;136,115;136,116;136,134;136,135;136,137;136,138;136,162;136,163;136,164;136,189;137,116;137,135;137,136;138,136;163,116;163,136;189,136"
24,
25,"136,138;137,138;137,139;137,164;137,165;137,190;138,136;138,137;138,164;138,165;138,191;139,137;139,165;163,165;164,137;164,138;164,165;164,166;165,137;165,138;165,139;165,163;165,164;166,164;190,137;191,138"
26,"136,138;137,138;137,139;137,165;138,136;138,137;138,139;138,140;138,164;138,165;138,166;138,191;139,137;139,138;139,165;140,138;163,165;164,138;164,165;164,166;165,137;165,138;165,139;165,163;165,164;165,166;165,167;165,190;165,191;165,192;166,138;166,164;166,165;167,165;191,138;191,165"
27,"137,139;138,139;138,140;138,165;138,166;138,191;139,137;139,138;139,165;139,166;139,192;140,138;140,166;164,166;165,138;165,139;165,166;165,167;166,138;166,139;166,140;166,164;166,165;167,165;191,138;192,139"
28,"137,139;138,139;138,140;138,166;139,137;139,138;139,140;139,141;139,165;139,166;139,167;139,192;140,138;140,139;140,166;141,139;164,166;165,139;165,166;165,167;166,138;166,139;166,140;166,164;166,165;166,167;166,168;166,191;166,192;166,193;167,139;167,165;167,166;168,166;192,139;192,166"
29,"138,140;139,140;139,141;139,166;139,167;139,192;140,138;140,139;140,166;140,167;140,193;141,139;141,167;165,167;166,139;166,140;166,167;166,168;167,139;167,140;167,141;167,165;167,166;168,166;192,139;193,140"
30,"138,140;139,140;139,141;139,167;140,138;140,139;140,141;140,142;140,166;140,167;140,168;140,193;141,139;141,140;141,167;142,140;165,167;166,140;166,167;166,168;167,139;167,140;167,141;167,165;167,166;167,168;167,169;167,192;167,193;167,194;168,140;168,166;168,167;169,167;193,140;193,167"
31,"139,141;140,141;140,142;140,167;140,168;140,193;141,139;141,140;141,167;141,168;141,194;142,140;142,168;166,168;167,140;167,141;167,168;167,169;168,140;168,141;168,142;168,166;168,167;169,167;193,140;194,141"
32,"139,141;140,141;140,142;140,168;141,139;141,140;141,142;141,143;141,167;141,168;141,169;141,194;142,140;142,141;142,168;143,141;166,168;167,141;167,168;167,169;168,140;168,141;168,142;168,166;168,167;168,169;168,170;168,193;168,194;168,195;168,212;169,141;169,167;169,168;170,168;194,141;194,168;212,168"
33,"140,142;141,142;141,143;141,168;141,169;141,194;142,140;142,141;142,168;142,169;142,195;143,141;143,169;167,169;168,141;168,142;168,169;168,170;169,141;169,142;169,143;169,167;169,168;170,168;194,141;195,142"
34,
35,
36,"140,142;141,142;141,143;142,140;142,141;142,143;142,144;142,168;142,169;142,170;142,195;143,141;143,142;143,144;143,145;143,169;143,170;143,171;143,196;144,142;144,143;145,143;169,142;169,143;170,142;170,143;171,143;195,142;196,143"
37,"141,143;142,143;142,144;143,141;143,142;143,144;143,145;143,169;143,170;143,171;143,196;144,142;144,143;144,170;145,143;169,143;170,143;170,144;171,143;196,143"
38,"141,143;142,143;142,144;143,141;143,142;143,144;143,145;143,169;143,170;143,171;143,196;144,142;144,143;144,145;144,146;144,170;144,171;144,172;144,197;145,143;145,144;146,144;170,143;170,144;171,143;171,144;172,144;196,143;197,144"
39,"142,144;143,144;143,145;143,171;144,142;144,143;144,145;144,146;144,170;144,171;144,172;144,197;145,143;145,144;145,171;146,144;170,144;171,143;171,144;171,145;172,144;197,144"
40,"142,144;143,144;143,145;144,142;144,143;144,145;144,146;144,170;144,171;144,172;144,197;145,143;145,144;145,146;145,147;145,171;145,172;145,173;145,198;146,144;146,145;147,145;171,144;171,145;172,144;172,145;173,145;197,144;198,145"
41,"143,145;144,145;144,146;144,172;145,143;145,144;145,146;145,147;145,171;145,172;145,173;145,198;146,144;146,145;146,172;147,145;171,145;172,144;172,145;172,146;173,145;198,145"
42,"143,145;144,145;144,146;145,143;145,144;145,146;145,147;145,171;145,172;145,173;145,198;146,118;146,144;146,145;146,147;146,148;146,172;146,173;146,174;146,199;147,145;147,146;148,146;172,145;172,146;173,145;173,146;174,146;198,145;199,146"
43,
44,"68,98;82,98;82,118;98,68;98,82;98,83;98,99;98,100;98,118;98,119;98,147;99,98;99,118;100,98;118,82;118,98;118,99;118,119;118,120;118,146;118,147;118,148;118,174;119,98;119,118;120,118;146,118;147,98;147,118;174,118"
45,"68,98;82,98;82,118;83,98;98,68;98,82;98,83;98,99;98,100;98,118;98,119;98,147;99,98;100,98;118,82;118,98;119,98;147,98"
46,"57,82;68,82;68,98;82,57;82,67;82,68;82,69;82,83;82,84;82,98;82,99;82,118;83,82;83,98;84,82;98,68;98,82;98,83;98,99;98,100;98,118;98,119;98,147;99,82;99,98;100,98;118,82;118,98;147,98"
47,"57,82;67,82;68,82;68,98;82,57;82,67;82,68;82,69;82,83;82,84;82,98;82,99;82,118;83,82;84,82;98,68;98,82;99,82;118,82"
48,
49,
50,"35,67;56,67;57,67;67,35;67,55;67,56;67,57;67,68;67,69;67,82;68,67;69,67;82,67"
51,"35,67;55,67;56,67;56,68;57,67;67,35;67,55;67,56;67,57;67,68;67,69;67,82;68,56;68,67;69,67;82,67"
52,"118,174;147,174;147,200;148,201;172,174;173,174;173,175;173,200;174,118;174,146;174,147;174,148;174,172;174,173;174,175;174,176;174,199;174,200;174,201;175,173;175,174;175,200;175,201;175,213;176,174;198,200;199,174;199,200;199,201;200,147;200,173;200,174;200,175;200,198;200,199;200,201;200,202;201,148;201,174;201,175;201,199;201,200;202,200;213,175"
53,"118,174;146,199;147,174;147,200;172,174;173,174;173,175;173,199;173,200;174,118;174,146;174,147;174,148;174,172;174,173;174,175;174,176;174,199;174,200;174,201;175,173;175,174;175,200;176,174;198,200;199,146;199,173;199,174;199,200;199,201;200,147;200,173;200,174;200,175;200,198;200,199;200,201;200,202;201,174;201,199;201,200;202,200"
54,"146,173;146,199;147,200;171,173;172,173;172,174;172,199;173,145;173,146;173,147;173,171;173,172;173,174;173,175;173,198;173,199;173,200;174,172;174,173;174,199;174,200;175,173;197,199;198,173;198,199;198,200;199,146;199,172;199,173;199,174;199,197;199,198;199,200;199,201;200,147;200,173;200,174;200,198;200,199;201,199"
55,"145,198;146,173;146,199;171,173;172,173;172,174;172,198;172,199;173,145;173,146;173,147;173,171;173,172;173,174;173,175;173,198;173,199;173,200;174,172;174,173;174,199;175,173;197,199;198,145;198,172;198,173;198,199;198,200;199,146;199,172;199,173;199,174;199,197;199,198;199,200;199,201;200,173;200,198;200,199;201,199"
56,"145,172;145,198;146,199;170,172;171,172;171,173;171,198;172,144;172,145;172,146;172,170;172,171;172,173;172,174;172,197;172,198;172,199;173,171;173,172;173,198;173,199;174,172;196,198;197,172;197,198;197,199;198,145;198,171;198,172;198,173;198,196;198,197;198,199;198,200;199,146;199,172;199,173;199,197;199,198;200,198"
57,"144,197;145,172;145,198;170,172;171,172;171,173;171,197;171,198;172,144;172,145;172,146;172,170;172,171;172,173;172,174;172,197;172,198;172,199;173,171;173,172;173,198;174,172;196,198;197,144;197,171;197,172;197,198;197,199;198,145;198,171;198,172;198,173;198,196;198,197;198,199;198,200;199,172;199,197;199,198;200,198"
58,"144,171;144,197;145,198;169,171;170,171;170,172;170,197;171,143;171,144;171,145;171,169;171,170;171,172;171,173;171,196;171,197;171,198;172,170;172,171;172,197;172,198;173,171;195,197;196,171;196,197;196,198;197,144;197,170;197,171;197,172;197,195;197,196;197,198;197,199;198,145;198,171;198,172;198,196;198,197;199,197"
59,"143,196;144,171;144,197;169,171;170,171;170,172;170,196;170,197;171,143;171,144;171,145;171,169;171,170;171,172;171,173;171,196;171,197;171,198;172,170;172,171;172,197;173,171;195,197;196,143;196,170;196,171;196,197;196,198;197,144;197,170;197,171;197,172;197,195;197,196;197,198;197,199;198,171;198,196;198,197;199,197"
60,"143,170;143,196;144,197;168,170;169,170;169,171;169,196;170,142;170,143;170,144;170,168;170,169;170,171;170,172;170,195;170,196;170,197;171,169;171,170;171,196;171,197;172,170;194,196;195,170;195,196;195,197;196,143;196,169;196,170;196,171;196,194;196,195;196,197;196,198;197,144;197,170;197,171;197,195;197,196;198,196"
61,"142,195;143,170;143,196;168,170;169,170;169,171;169,195;169,196;170,142;170,143;170,144;170,168;170,169;170,171;170,172;170,195;170,196;170,197;171,169;171,170;171,196;172,170;194,196;195,142;195,169;195,170;195,196;195,197;196,143;196,169;196,170;196,171;196,194;196,195;196,197;196,198;197,170;197,195;197,196;198,196"
62,"142,169;142,195;143,196;167,169;168,169;168,170;168,195;169,141;169,142;169,143;169,167;169,168;169,170;169,171;169,194;169,195;169,196;170,168;170,169;170,195;170,196;171,169;193,195;194,169;194,195;194,196;195,142;195,168;195,169;195,170;195,193;195,194;195,196;195,197;196,143;196,169;196,170;196,194;196,195;197,195"
63,
64,"168,212;193,212;194,212;212,168;212,193;212,194"
65,
66,"168,212;193,212;194,212;212,168;212,193;212,194"
67,"168,212;193,212;194,212;212,168;212,193;212,194"
68,"168,212;193,212;194,212;212,168;212,193;212,194"
69,
70,"168,212;193,212;194,212;212,168;212,193;212,194"
71,"139,192;166,192;190,192;191,192;191,193;192,139;192,165;192,166;192,167;192,190;192,191;192,193;192,194;193,191;193,192;194,192"
72,"139,192;140,167;140,193;165,167;166,167;166,168;166,192;166,193;167,139;167,140;167,141;167,165;167,166;167,168;167,169;167,192;167,193;167,194;168,166;168,167;169,167;191,193;192,139;192,166;192,167;192,193;192,194;193,140;193,166;193,167;193,191;193,192;194,167;194,192"
73,"139,166;139,192;164,166;165,166;165,167;165,192;166,138;166,139;166,140;166,164;166,165;166,167;166,168;166,191;166,192;166,193;167,165;167,166;167,192;168,166;190,192;191,166;191,192;191,193;192,139;192,165;192,166;192,167;192,190;192,191;192,193;192,194;193,166;193,191;193,192;194,192"
74,"138,191;139,166;139,192;164,166;165,166;165,167;165,191;165,192;166,138;166,139;166,140;166,164;166,165;166,167;166,168;166,191;166,192;166,193;167,165;167,166;168,166;190,192;191,138;191,165;191,166;191,192;191,193;192,139;192,165;192,166;192,167;192,190;192,191;192,193;192,194;193,166;193,191;193,192;194,192"
75,"138,165;138,191;163,165;164,165;164,166;164,191;165,137;165,138;165,139;165,163;165,164;165,166;165,167;165,190;165,191;165,192;166,164;166,165;166,191;167,165;189,191;190,165;190,191;190,192;191,138;191,164;191,165;191,166;191,189;191,190;191,192;191,193;192,165;192,190;192,191;193,191"
76,"137,190;138,165;138,191;163,165;164,165;164,166;164,190;164,191;165,137;165,138;165,139;165,163;165,164;165,166;165,167;165,190;165,191;165,192;166,164;166,165;166,191;167,165;189,191;190,137;190,164;190,165;190,191;190,192;191,138;191,164;191,165;191,166;191,189;191,190;191,192;191,193;192,165;192,190;192,191;193,191"
77,"137,164;137,190;138,191;162,164;163,164;163,165;163,190;164,136;164,137;164,138;164,162;164,163;164,165;164,166;164,189;164,190;164,191;165,163;165,164;165,190;165,191;166,164;188,190;189,164;189,190;189,191;190,137;190,163;190,164;190,165;190,188;190,189;190,191;190,192;191,138;191,164;191,165;191,189;191,190;192,190"
78,"136,189;137,164;137,190;162,164;163,164;163,165;163,189;163,190;164,136;164,137;164,138;164,162;164,163;164,165;164,166;164,189;164,190;164,191;165,163;165,164;165,190;166,164;188,190;189,136;189,163;189,164;189,190;189,191;190,137;190,163;190,164;190,165;190,188;190,189;190,191;190,192;191,164;191,189;191,190;192,190"
79,"116,163;136,163;136,189;137,190;161,163;162,163;162,164;162,189;163,116;163,135;163,136;163,137;163,161;163,162;163,164;163,165;163,188;163,189;163,190;164,162;164,163;164,189;164,190;165,163;187,189;188,163;188,189;188,190;189,136;189,162;189,163;189,164;189,187;189,188;189,190;189,191;190,137;190,163;190,164;190,188;190,189;191,189"
80,"116,163;135,188;136,163;136,189;161,163;162,163;162,164;162,188;162,189;163,116;163,135;163,136;163,137;163,161;163,162;163,164;163,165;163,188;163,189;163,190;164,162;164,163;164,189;165,163;187,189;188,135;188,162;188,163;188,189;188,190;189,136;189,162;189,163;189,164;189,187;189,188;189,190;189,191;190,163;190,188;190,189;191,189"
81,"115,162;135,162;135,188;136,189;160,162;161,162;161,163;161,188;162,115;162,134;162,135;162,136;162,160;162,161;162,163;162,164;162,187;162,188;162,189;163,161;163,162;163,188;163,189;164,162;186,188;187,162;187,188;187,189;188,135;188,161;188,162;188,163;188,186;188,187;188,189;188,190;189,136;189,162;189,163;189,187;189,188;190,188"
82,"115,162;134,187;135,162;135,188;160,162;161,162;161,163;161,187;161,188;162,115;162,134;162,135;162,136;162,160;162,161;162,163;162,164;162,187;162,188;162,189;163,161;163,162;163,188;164,162;186,188;187,134;187,161;187,162;187,188;187,189;188,135;188,161;188,162;188,163;188,186;188,187;188,189;188,190;189,162;189,187;189,188;190,188"
83,"114,161;134,161;134,187;135,188;159,161;160,161;160,162;160,187;161,114;161,133;161,134;161,135;161,159;161,160;161,162;161,163;161,186;161,187;161,188;162,160;162,161;162,187;162,188;163,161;185,187;186,161;186,187;186,188;187,134;187,160;187,161;187,162;187,185;187,186;187,188;187,189;188,135;188,161;188,162;188,186;188,187;189,187"
84,"114,161;133,186;134,161;134,187;159,161;160,161;160,162;160,186;160,187;161,114;161,133;161,134;161,135;161,159;161,160;161,162;161,163;161,186;161,187;161,188;162,160;162,161;162,187;163,161;185,187;186,133;186,160;186,161;186,187;186,188;187,134;187,160;187,161;187,162;187,185;187,186;187,188;187,189;188,161;188,186;188,187;189,187"
85,"113,160;133,160;133,186;134,187;158,160;159,160;159,161;159,186;160,113;160,132;160,133;160,134;160,158;160,159;160,161;160,162;160,185;160,186;160,187;161,159;161,160;161,186;161,187;162,160;184,186;185,160;185,186;185,187;186,133;186,159;186,160;186,161;186,184;186,185;186,187;186,188;187,134;187,160;187,161;187,185;187,186;188,186"
86,"113,160;132,185;133,160;133,186;158,160;159,160;159,161;159,185;159,186;160,113;160,132;160,133;160,134;160,158;160,159;160,161;160,162;160,185;160,186;160,187;161,159;161,160;161,186;162,160;184,186;185,132;185,159;185,160;185,186;185,187;186,133;186,159;186,160;186,161;186,184;186,185;186,187;186,188;187,160;187,185;187,186;188,186"
87,"132,159;132,185;133,186;157,159;158,159;158,160;158,185;159,131;159,132;159,133;159,157;159,158;159,160;159,161;159,184;159,185;159,186;160,158;160,159;160,185;160,186;161,159;183,185;184,159;184,185;184,186;185,132;185,158;185,159;185,160;185,183;185,184;185,186;185,187;186,133;186,159;186,160;186,184;186,185;187,185"
88,"131,184;132,159;132,185;157,159;158,159;158,160;158,184;158,185;159,131;159,132;159,133;159,157;159,158;159,160;159,161;159,184;159,185;159,186;160,158;160,159;160,185;161,159;183,185;184,131;184,158;184,159;184,185;184,186;185,132;185,158;185,159;185,160;185,183;185,184;185,186;185,187;186,159;186,184;186,185;187,185"
89,
90,"130,183;157,183;157,210;181,183;182,183;182,184;182,210;183,130;183,156;183,157;183,158;183,181;183,182;183,184;183,185;183,209;183,210;183,223;184,182;184,183;184,210;185,183;208,210;209,183;209,210;210,157;210,182;210,183;210,184;210,208;210,209;210,222;210,223;210,236;223,183;223,210;236,210"
91,"157,210;182,210;183,210;183,223;184,210;208,210;209,210;209,223;210,157;210,182;210,183;210,184;210,208;210,209;210,222;210,223;210,236;221,223;222,210;222,223;223,183;223,209;223,210;223,221;223,222;223,235;223,236;223,250;236,210;236,223;250,223"
92,"157,210;183,210;183,223;208,210;209,210;209,223;210,157;210,182;210,183;210,184;210,208;210,209;210,222;210,223;210,236;221,223;222,210;222,223;223,183;223,209;223,210;223,221;223,222;223,235;223,236;223,250;236,210;236,223;250,223"
93,"183,223;209,223;210,223;210,236;221,223;222,223;222,236;223,183;223,209;223,210;223,221;223,222;223,235;223,236;223,250;234,236;235,223;235,236;236,210;236,222;236,223;236,234;236,235;236,249;236,250;236,276;250,223;250,236;276,236"
94,"183,223;210,223;210,236;221,223;222,223;222,236;223,183;223,209;223,210;223,221;223,222;223,235;223,236;223,250;234,236;235,223;235,236;236,210;236,222;236,223;236,234;236,235;236,249;236,250;236,276;250,223;250,236;276,236"
95,"210,236;222,236;223,236;223,250;234,236;235,236;235,250;236,210;236,222;236,223;236,234;236,235;236,249;236,250;236,276;248,250;249,236;249,250;250,223;250,235;250,236;250,248;250,249;250,275;250,276;250,302;276,236;276,250;302,250"
96,"210,236;223,236;223,250;234,236;235,236;235,250;236,210;236,222;236,223;236,234;236,235;236,249;236,250;236,276;248,250;249,236;249,250;250,223;250,235;250,236;250,248;250,249;250,275;250,276;250,302;276,236;276,250;302,250"
97,"223,250;235,250;236,250;236,276;248,250;249,250;249,276;250,223;250,235;250,236;250,248;250,249;250,275;250,276;250,302;274,276;275,250;275,276;276,236;276,249;276,250;276,274;276,275;276,301;276,302;276,327;302,250;302,276;327,276"
98,"223,250;236,250;236,276;248,250;249,250;249,276;250,223;250,235;250,236;250,248;250,249;250,275;250,276;250,302;274,276;275,250;275,276;276,236;276,249;276,250;276,274;276,275;276,301;276,302;276,327;302,250;302,276;327,276"
99,"236,276;249,276;250,276;250,302;274,276;275,276;275,302;276,236;276,249;276,250;276,274;276,275;276,301;276,302;276,327;300,302;301,276;301,302;302,250;302,275;302,276;302,300;302,301;302,326;302,327;302,328;302,337;327,276;327,302;337,302"
100,"236,276;250,276;250,302;274,276;275,276;275,302;276,236;276,249;276,250;276,274;276,275;276,301;276,302;276,327;300,302;301,276;301,302;302,250;302,275;302,276;302,300;302,301;302,326;302,327;302,328;302,337;327,276;327,302;328,302;337,302"
101,"250,302;275,302;276,302;276,327;300,302;301,302;301,327;302,250;302,275;302,276;302,300;302,301;302,326;302,327;302,328;302,337;325,327;326,302;326,327;326,328;327,276;327,301;327,302;327,325;327,326;327,328;327,329;327,336;327,337;327,338;327,344;328,302;328,326;328,327;329,327;337,302;337,327;344,327"
102,
103,"327,329;328,329;328,330;328,338;328,339;328,345;329,327;329,328;329,330;329,331;329,338;329,339;329,340;329,346;330,328;330,329;331,329;338,328;338,329;339,328;339,329;340,329;345,328;346,329"
104,"327,329;328,329;328,330;328,339;329,327;329,328;329,330;329,331;329,338;329,339;329,340;329,346;330,328;330,329;330,339;331,329;338,329;339,328;339,329;339,330;340,329;346,329"
105,"328,330;329,330;329,331;329,339;329,340;329,346;330,328;330,329;330,331;330,332;330,339;330,340;330,341;330,347;331,329;331,330;332,330;339,329;339,330;340,329;340,330;341,330;346,329;347,330"
106,"328,330;329,330;329,331;329,340;330,328;330,329;330,331;330,332;330,339;330,340;330,341;330,347;331,329;331,330;331,340;332,330;339,330;340,329;340,330;340,331;341,330;347,330"
107,"329,331;330,331;330,332;330,340;330,341;330,347;331,304;331,329;331,330;331,332;331,333;331,340;331,341;331,342;331,348;332,330;332,331;333,331;340,330;340,331;341,330;341,331;342,331;347,330;348,331"
108,
109,"277,278;277,279;277,304;277,305;277,332;278,277;278,304;279,277;304,277;304,278;304,305;304,306;304,331;304,332;304,333;304,342;305,304;306,304;331,304;332,277;332,304;333,304;342,304"
110,"277,278;277,279;277,304;277,305;277,332;278,277;278,304;279,277;304,277;304,278;304,305;304,306;304,331;304,332;304,333;304,342;305,277;305,304;306,304;332,277;332,304;342,304"
111,"277,278;277,279;277,304;277,305;277,332;278,277;279,277;304,277;305,277;332,277"
112,"277,278;277,279;277,304;277,305;277,332;278,277;279,277;304,277;332,277"
113,
114,"277,278;277,279;277,304;277,305;277,332;278,277;279,277;304,277;332,277"
115,"277,278;277,279;277,304;277,305;277,332;278,277;278,279;278,280;278,304;278,305;278,306;278,333;279,277;279,278;280,278;304,277;304,278;305,277;305,278;332,277;333,278"
116,"277,278;277,279;277,304;277,305;277,332;278,277;278,279;278,280;278,304;278,305;278,306;278,333;279,277;279,278;280,278;304,277;304,278;305,277;305,278;332,277;333,278"
117,"277,278;277,279;278,277;278,279;278,280;278,304;278,305;278,306;278,333;279,277;279,278;279,280;279,281;279,305;279,306;279,307;280,278;280,279;281,279;305,278;305,279;306,278;306,279;333,278"
118,"277,278;277,279;278,277;278,279;278,280;278,304;278,305;278,306;278,333;279,277;279,278;279,280;279,281;279,305;279,306;279,307;280,278;280,279;281,279;305,278;305,279;306,278;306,279;333,278"
119,"277,279;278,279;278,280;279,277;279,278;279,280;279,281;279,305;279,306;279,307;280,278;280,279;280,281;280,282;280,306;280,307;280,308;281,279;281,280;282,280;306,279;306,280;307,279;307,280"
120,"277,279;278,279;278,280;279,277;279,278;279,280;279,281;279,305;279,306;279,307;280,278;280,279;280,281;280,282;280,306;280,307;280,308;281,279;281,280;282,280;306,279;306,280;307,279;307,280"
121,"278,280;279,280;279,281;280,278;280,279;280,281;280,282;280,306;280,307;280,308;281,279;281,280;281,282;281,283;281,307;281,308;281,309;282,280;282,281;283,281;307,280;307,281;308,280;308,281"
122,"278,280;279,280;279,281;280,278;280,279;280,281;280,282;280,306;280,307;280,308;281,279;281,280;281,282;281,283;281,307;281,308;281,309;282,280;282,281;283,281;307,280;307,281;308,280;308,281"
123,"279,281;280,281;280,282;281,279;281,280;281,282;281,283;281,307;281,308;281,309;282,280;282,281;282,283;282,284;282,308;282,309;282,310;283,281;283,282;284,282;308,281;308,282;309,281;309,282"
124,"279,281;280,281;280,282;281,279;281,280;281,282;281,283;281,307;281,308;281,309;282,280;282,281;282,283;282,284;282,308;282,309;282,310;283,281;283,282;284,282;308,281;308,282;309,281;309,282"
125,"280,282;281,282;281,283;282,280;282,281;282,283;282,284;282,308;282,309;282,310;283,281;283,282;283,284;283,285;283,309;283,310;283,311;284,282;284,283;285,283;309,282;309,283;310,282;310,283"
126,"280,282;281,282;281,283;282,280;282,281;282,283;282,284;282,308;282,309;282,310;283,281;283,282;283,284;283,285;283,309;283,310;283,311;284,282;284,283;285,283;309,282;309,283;310,282;310,283"
127,"281,283;282,283;282,284;283,281;283,282;283,284;283,285;283,309;283,310;283,311;284,282;284,283;284,285;284,286;284,310;284,311;284,312;285,283;285,284;286,284;310,283;310,284;311,283;311,284"
128,"281,283;282,283;282,284;283,281;283,282;283,284;283,285;283,309;283,310;283,311;284,282;284,283;284,285;284,286;284,310;284,311;284,312;285,283;285,284;286,284;310,283;310,284;311,283;311,284"
129,"282,284;283,284;283,285;284,282;284,283;284,285;284,286;284,310;284,311;284,312;285,283;285,284;285,286;285,287;285,311;285,312;285,313;286,284;286,285;287,285;311,284;311,285;312,284;312,285"
130,"282,284;283,284;283,285;284,282;284,283;284,285;284,286;284,310;284,311;284,312;285,283;285,284;285,286;285,287;285,311;285,312;285,313;286,284;286,285;287,285;311,284;311,285;312,284;312,285"
131,"283,285;284,285;284,286;285,283;285,284;285,286;285,287;285,311;285,312;285,313;286,284;286,285;286,287;286,288;286,312;286,313;286,314;287,285;287,286;288,286;312,285;312,286;313,285;313,286"
132,"283,285;284,285;284,286;285,283;285,284;285,286;285,287;285,311;285,312;285,313;286,284;286,285;286,287;286,288;286,312;286,313;286,314;287,285;287,286;288,286;312,285;312,286;313,285;313,286"
133,"284,286;285,286;285,287;286,284;286,285;286,287;286,288;286,312;286,313;286,314;287,285;287,286;287,288;287,289;287,313;287,314;287,315;288,286;288,287;289,287;313,286;313,287;314,286;314,287"
