segment_idx,visible_edges
0,"12,38;13,39;24,25;24,26;24,38;25,24;25,37;25,38;25,39;25,47;26,24;26,38;26,39;26,48;27,39;37,25;37,38;37,39;37,47;38,12;38,24;38,25;38,26;38,37;38,39;38,46;38,47;38,48;38,58;39,13;39,25;39,26;39,27;39,37;39,38;39,47;39,48;39,59;46,38;46,47;46,48;47,25;47,37;47,38;47,39;47,46;47,48;47,57;47,58;47,59;47,68;48,26;48,38;48,39;48,46;48,47;57,47;58,38;58,47;59,39;59,47;68,47"
1,"12,38;24,38;25,38;25,47;26,38;26,48;37,38;37,39;37,47;38,12;38,24;38,25;38,26;38,37;38,39;38,46;38,47;38,48;38,58;39,37;39,38;39,47;39,48;39,59;46,38;46,47;46,48;46,58;47,25;47,37;47,38;47,39;47,46;47,48;47,57;47,58;47,59;47,68;48,26;48,38;48,39;48,46;48,47;48,58;48,59;48,60;48,69;57,47;58,38;58,46;58,47;58,48;59,39;59,47;59,48;68,47;69,48"
2,"48,60;48,69;58,60;58,69;59,60;59,69;59,77;60,48;60,58;60,59;60,69;67,69;68,69;69,48;69,58;69,59;69,60;69,67;69,68;69,76;69,77;69,84;76,69;77,59;77,69;84,69"
3,
4,"26,48;38,48;39,48;39,59;46,48;47,48;47,59;48,26;48,38;48,39;48,46;48,47;48,58;48,59;48,60;48,69;57,59;58,48;58,59;58,60;59,39;59,47;59,48;59,57;59,58;59,60;59,68;59,69;59,77;60,48;60,58;60,59;68,59;69,48;69,59;77,59"
5,"26,48;38,48;39,48;39,59;46,48;47,48;47,59;48,26;48,38;48,39;48,46;48,47;48,58;48,59;48,60;48,69;57,59;58,48;58,59;58,60;58,69;59,39;59,47;59,48;59,57;59,58;59,60;59,68;59,69;59,77;60,48;60,58;60,59;60,69;67,69;68,59;68,69;69,48;69,58;69,59;69,60;69,67;69,68;69,76;69,77;69,84;76,69;77,59;77,69;84,69"
6,"39,59;47,59;48,59;48,60;48,69;57,59;58,59;58,60;58,69;59,39;59,47;59,48;59,57;59,58;59,60;59,68;59,69;59,77;60,48;60,58;60,59;60,69;67,69;68,59;68,69;69,48;69,58;69,59;69,60;69,67;69,68;69,76;69,77;69,84;76,69;77,59;77,69;84,69"
7,
8,"26,48;38,48;39,48;39,59;46,48;47,48;48,26;48,38;48,39;48,46;48,47;48,58;48,59;48,60;48,69;58,60;59,39;59,48;59,60;60,48;60,58;60,59;60,69;69,48;69,60"
9,"47,68;48,69;57,68;58,67;58,68;58,69;58,76;59,68;59,69;59,77;67,58;67,68;67,69;67,76;68,47;68,57;68,58;68,59;68,67;68,69;68,75;68,76;68,77;68,83;69,48;69,58;69,59;69,60;69,67;69,68;69,76;69,77;69,84;75,68;75,76;75,77;76,58;76,67;76,68;76,69;76,75;76,77;76,82;76,83;76,84;76,96;77,59;77,68;77,69;77,75;77,76;82,76;83,68;83,76;84,69;84,76;96,76"
10,"47,68;57,68;58,68;58,76;59,68;59,77;67,68;67,69;67,76;68,47;68,57;68,58;68,59;68,67;68,69;68,75;68,76;68,77;68,83;69,67;69,68;69,76;69,77;69,84;75,68;75,76;75,77;75,83;76,58;76,67;76,68;76,69;76,75;76,77;76,82;76,83;76,84;76,96;77,59;77,68;77,69;77,75;77,76;77,83;77,84;77,97;82,76;83,68;83,75;83,76;83,77;84,69;84,76;84,77;96,76;97,77"
