edge_start_node,edge_end_node,visible_segments
26,27,90;91;92
26,43,22;23;25;90;91;92
26,44,22;23;90;91;92
26,45,90;91;92
26,56,22;23;26;73;90;91;92
27,1,90;91;92;112;113;114
27,9,90;91;92
27,10,90;91;92;112;113;114
27,11,90;91;92;110;111;112;113;114
27,25,22;23;25;90;91;92
27,26,90;91;92
27,44,22;23;90;91;92
27,45,90;91;92
28,4,109;110;111;112;113;114
28,12,109;110;111;112;113;114
28,13,108;109;110;111;112;113;114
28,14,107;108;109;110;111;112;113
28,29,107;108;109;110;111;112;113
28,30,105;106;107;108;109;110;111;112
29,5,107;108;109;110;111;112;113
29,13,107;108;109;110;111;112;113;114
29,14,107;108;109;110;111;112;113
29,15,106;107;108;109;110;111;112;113
29,28,107;108;109;110;111;112;113
29,30,105;106;107;108;109;110;111;112;113
29,31,105;106;107;108;109;110;111;112;113
30,14,105;106;107;108;109;110;111;112;113
30,15,105;106;107;108;109;110;111
30,16,105;106;107;108;109;110;111
30,28,105;106;107;108;109;110;111;112
30,29,105;106;107;108;109;110;111;112;113
30,31,105;106;107;108;109;110;111
30,32,105;106;107;108;109;110;111
31,15,105;106;107;108;109;110;111
31,16,105;106;107;108;109;110
31,17,105;106;107;108;109;110
31,29,105;106;107;108;109;110;111;112;113
31,30,105;106;107;108;109;110;111
31,32,105;106;107;108;109;110
31,33,104;105;106;107;108;109;110
31,46,105;106;107;108;109;110
32,16,105;106;107;108;109;110
32,17,105;106;107;108;109
32,18,105;106;107;108;109
32,30,105;106;107;108;109;110;111
32,31,105;106;107;108;109;110
32,33,104;105;106;107;108;109
32,34,105;106;107;108;109
32,46,105;106;107;108;109
32,47,103;104;105;106;107;108;109
33,17,104;105;106;107;108
33,18,104;106;107;108
33,31,104;105;106;107;108;109;110
33,32,104;105;106;107;108;109
33,34,104;106;107;108
33,46,104;105;106;107;108
33,47,103;104;106;107;108
33,48,104;106;107;108
33,57,103;104;106;107;108
34,18,106;107
34,32,105;106;107;108;109
34,33,104;106;107;108
34,47,103;104;106;107;108
34,48,104;106
34,58,103;104;106
35,36,1;2;3;4;5;6
35,37,0;1;2;3;4;5;6
35,50,3;4;5;6;7
35,51,3;4;5;6;7;8
35,52,1;2;3;4;5;6;7
35,62,3;4;5;6;7;8
36,19,0;1;2;3;4;5;6
36,35,1;2;3;4;5;6
36,37,0;1;2;3;4;5;6
36,38,0;1;2;3;4;5;6
36,51,1;2;3;4;5;6;7;8
36,52,1;2;3;4;5;6;7
36,53,0;1;2;3;4;5;6
36,63,1;2;3;4;5;6;8
37,19,0;1;2;3;4;5
37,20,0;1;2;3;4;5
37,35,0;1;2;3;4;5;6
37,36,0;1;2;3;4;5;6
37,38,0;1;2;3;4;5
37,39,0;1;2;3;4;5;21
37,52,0;1;2;3;4;5;6;7
37,53,0;1;2;3;4;5;6
38,19,0;1;2;3;4
38,20,0;1;2;3;4
38,21,0;1;2;3;4
38,36,0;1;2;3;4;5;6
38,37,0;1;2;3;4;5
38,39,0;1;2;3;4;21
38,53,0;1;2;3;4;5;6
39,6,0;1;2;3;21
39,20,0;1;2;3;21
39,21,0;1;2;3;21
39,22,0;1;2;3;21;25
39,37,0;1;2;3;4;5;21
39,38,0;1;2;3;4;21
40,7,0;1;21;23;25
40,22,0;1;2;21;25
40,23,0;1;21;22;23;25
40,41,21;22;23;25
40,42,21;22;23;25;92
41,8,0;21;22;23;25
