# Path coordinates in rotated coordinate system
# x, y
555444.0000, 4806687.0000
555454.0000, 4806687.0000
555444.0000, 4806687.0000
555454.0000, 4806697.0000
555454.0000, 4806707.0000
555454.0000, 4806717.0000
555464.0000, 4806727.0000
555454.0000, 4806757.0000
555454.0000, 4806767.0000
555454.0000, 4806777.0000
555454.0000, 4806787.0000
555464.0000, 4806797.0000
555454.0000, 4806677.0000
555474.0000, 4806727.0000
555454.0000, 4806747.0000
555464.0000, 4806807.0000
555474.0000, 4806807.0000
555464.0000, 4806667.0000
555484.0000, 4806717.0000
555464.0000, 4806737.0000
555484.0000, 4806807.0000
555474.0000, 4806667.0000
555494.0000, 4806707.0000
555474.0000, 4806737.0000
555494.0000, 4806807.0000
555484.0000, 4806667.0000
555504.0000, 4806717.0000
555484.0000, 4806737.0000
555494.0000, 4806747.0000
555494.0000, 4806757.0000
555494.0000, 4806767.0000
555504.0000, 4806807.0000
555494.0000, 4806667.0000
555514.0000, 4806727.0000
555494.0000, 4806777.0000
555514.0000, 4806807.0000
555504.0000, 4806667.0000
555524.0000, 4806737.0000
555504.0000, 4806777.0000
555524.0000, 4806807.0000
555514.0000, 4806667.0000
555524.0000, 4806747.0000
555524.0000, 4806757.0000
555524.0000, 4806767.0000
555514.0000, 4806777.0000
555534.0000, 4806787.0000
555524.0000, 4806787.0000
555524.0000, 4806797.0000
555524.0000, 4806677.0000
555534.0000, 4806687.0000
555534.0000, 4806697.0000
555534.0000, 4806707.0000
555544.0000, 4806797.0000
555534.0000, 4806717.0000
555554.0000, 4806807.0000
555544.0000, 4806727.0000
555564.0000, 4806807.0000
555554.0000, 4806727.0000
555574.0000, 4806807.0000
555564.0000, 4806727.0000
555584.0000, 4806797.0000
555574.0000, 4806727.0000
555594.0000, 4806787.0000
555584.0000, 4806787.0000
555584.0000, 4806727.0000
555604.0000, 4806777.0000
555594.0000, 4806727.0000
555604.0000, 4806737.0000
555604.0000, 4806747.0000
555604.0000, 4806757.0000
555604.0000, 4806767.0000
