# Path coordinates in original coordinate system
# x, y
555461.5355, 4806669.0684
555471.2345, 4806671.5036
555461.5355, 4806669.0684
555468.7993, 4806681.2025
555466.3641, 4806690.9015
555463.9289, 4806700.6005
555471.1926, 4806712.7346
555454.1881, 4806739.3963
555451.7529, 4806749.0953
555449.3177, 4806758.7942
555446.8825, 4806768.4932
555454.1462, 4806780.6273
555473.6697, 4806661.8046
555480.8916, 4806715.1698
555456.6233, 4806729.6973
555451.7110, 4806790.3263
555461.4100, 4806792.7615
555485.8038, 4806654.5409
555493.0257, 4806707.9061
555468.7574, 4806722.4336
555471.1089, 4806795.1967
555495.5028, 4806656.9761
555505.1599, 4806700.6423
555478.4564, 4806724.8688
555480.8079, 4806797.6319
555505.2017, 4806659.4113
555512.4237, 4806712.7765
555488.1553, 4806727.3040
555495.4191, 4806739.4381
555492.9839, 4806749.1371
555490.5487, 4806758.8361
555490.5069, 4806800.0671
555514.9007, 4806661.8465
555519.6874, 4806724.9106
555488.1135, 4806768.5350
555500.2058, 4806802.5023
555524.5997, 4806664.2817
555526.9512, 4806737.0448
555497.8125, 4806770.9702
555509.9048, 4806804.9375
555534.2986, 4806666.7169
555524.5160, 4806746.7437
555522.0808, 4806756.4427
555519.6456, 4806766.1417
555507.5114, 4806773.4054
555524.4741, 4806787.9748
555514.7752, 4806785.5396
555512.3400, 4806795.2385
555541.5624, 4806678.8510
555548.8261, 4806690.9852
555546.3909, 4806700.6841
555543.9557, 4806710.3831
555531.7379, 4806800.1089
555541.5205, 4806720.0821
555539.0016, 4806812.2431
555548.7843, 4806732.2162
555548.7006, 4806814.6783
555558.4832, 4806734.6514
555558.3996, 4806817.1135
555568.1822, 4806737.0866
555570.5337, 4806809.8497
555577.8812, 4806739.5218
555582.6679, 4806802.5860
555572.9689, 4806800.1508
555587.5801, 4806741.9570
555594.8020, 4806795.3222
555597.2791, 4806744.3922
555604.5428, 4806756.5264
555602.1076, 4806766.2253
555599.6724, 4806775.9243
555597.2372, 4806785.6233
