segment_idx,visible_edges,edge_count
26,"41,49;42,49;49,41;49,42;49,50;49,57;49,58;49,59;50,49;50,58;50,59;51,59;57,49;57,58;57,66;57,67;58,49;58,50;58,57;58,59;58,66;58,67;58,68;59,49;59,50;59,51;59,58;59,60;59,67;59,68;59,69;60,59;66,57;66,58;66,67;67,57;67,58;67,59;67,66;67,68;67,74;67,75;68,58;68,59;68,67;69,59;74,67;75,67",48
27,"28,40;29,40;30,40;39,40;40,28;40,29;40,30;40,39",8
28,"49,57;57,49;57,58;57,66;57,67;58,57;58,66;58,67;59,67;66,57;66,58;66,67;67,57;67,58;67,59;67,66;67,68;67,74;67,75;68,67;74,67;75,67",22
29,,0
30,"20,33;21,33;22,33;31,41;32,33;32,41;32,42;33,20;33,21;33,22;33,32;33,34;33,41;33,42;33,43;34,33;34,42;41,31;41,32;41,33;41,42;41,49;41,50;42,32;42,33;42,34;42,41;42,43;42,49;42,50;42,51;43,33;43,42;43,50;49,41;49,42;49,50;50,41;50,42;50,43;50,49;50,51;50,58;50,59;50,60;51,42;51,50;51,59;58,50;59,50;59,51;59,60;60,50;60,59",54
31,"30,40;40,30",2
32,"5,18;6,18;6,19;7,18;7,19;7,20;8,19;8,20;9,20;17,18;18,5;18,6;18,7;18,17;18,19;18,29;18,30;18,31;19,6;19,7;19,8;19,18;19,20;19,30;19,31;19,32;20,7;20,8;20,9;20,19;20,21;20,31;20,32;20,33;21,20;29,18;30,18;30,19;30,31;31,18;31,19;31,20;31,30;31,32;31,41;32,19;32,20;32,31;33,20;41,31",50
33,"4,17;5,17;5,18;6,17;6,18;6,19;7,18;7,19;8,19;16,17;17,4;17,5;17,6;17,16;17,18;17,28;17,29;17,30;18,5;18,6;18,7;18,17;18,19;18,29;18,30;18,31;19,6;19,7;19,8;19,18;19,20;19,30;19,31;19,32;20,19;20,31;28,17;29,17;29,18;29,30;30,17;30,18;30,19;30,29;30,31;30,40;31,18;31,19;31,20;31,30;31,32;31,41;32,19;32,31;40,30;41,31",56
34,"19,32;20,32;31,32;31,41;32,19;32,20;32,21;32,31;32,33;32,41;32,42;33,32;33,41;41,31;41,32;41,33;41,42;41,49;41,50;42,32;42,41;42,49;49,41;49,42;49,50;49,57;49,58;49,59;50,41;50,49;57,49;58,49;59,49",33
35,"49,57;57,49;57,58;57,66;57,67;58,57;66,57;67,57",8
36,"4,17;5,17;6,17;15,28;16,17;16,28;16,29;17,4;17,5;17,6;17,16;17,18;17,28;17,29;17,30;18,17;18,29;18,30;19,30;27,28;28,15;28,16;28,17;28,27;28,29;28,39;28,40;29,16;29,17;29,18;29,28;29,30;29,39;29,40;30,17;30,18;30,19;30,29;30,31;30,40;31,30;39,28;39,29;39,40;40,28;40,29;40,30;40,39",48
37,"4,16;15,16;15,27;15,28;16,3;16,4;16,5;16,15;16,17;16,27;16,28;16,29;17,16;17,28;17,29;17,30;18,29;18,30;27,15;27,16;27,28;28,15;28,16;28,17;28,27;28,29;28,39;28,40;29,16;29,17;29,18;29,28;29,30;29,39;29,40;30,17;30,18;30,29;39,28;39,29;39,40;40,28;40,29;40,39",44
38,"3,16;4,16;5,16;14,27;15,16;15,26;15,27;15,28;16,3;16,4;16,5;16,15;16,17;16,27;16,28;16,29;17,16;17,28;17,29;18,29;26,15;26,27;27,14;27,15;27,16;27,26;27,28;27,39;28,15;28,16;28,17;28,27;28,29;28,39;28,40;29,16;29,17;29,18;29,28;29,30;29,39;29,40;30,29;39,27;39,28;39,29;39,40;40,28;40,29;40,39",50
39,"25,26;26,25;26,38;38,26;38,47;47,38;47,48;47,56;48,47;48,55;48,56;55,48;56,47;56,48",14
40,"47,48;47,56;48,47;48,55;48,56;55,48;56,47;56,48",8
41,"1,14;2,14;2,15;3,14;3,15;3,16;4,15;4,16;13,14;13,25;13,26;14,1;14,2;14,3;14,13;14,15;14,25;14,26;14,27;15,2;15,3;15,4;15,14;15,16;15,26;15,27;15,28;16,3;16,4;16,5;16,15;16,17;16,27;16,28;16,29;17,16;25,13;25,14;25,26;26,13;26,14;26,15;26,25;26,27;26,38;27,14;27,15;27,16;27,26;27,28;27,39;28,15;28,16;28,27;29,16;38,26;39,27",57
42,"0,13;1,13;1,14;2,13;2,14;2,15;3,14;3,15;4,15;12,13;13,0;13,1;13,2;13,12;13,14;13,24;13,25;13,26;14,1;14,2;14,3;14,13;14,15;14,25;14,26;14,27;15,2;15,3;15,4;15,14;15,16;15,26;15,27;15,28;16,15;24,13;25,13;25,14;25,26;26,13;26,14;26,15;26,25;26,27;26,38;27,14;27,15;27,26;28,15;38,26",50
43,"79,93;80,81;80,93;80,94;81,80;81,82;81,93;81,94;81,95;82,81;82,94;82,95;82,96;83,95;92,93;93,79;93,80;93,81;93,92;93,94;93,104;93,105;93,106;94,80;94,81;94,82;94,93;94,95;94,105;94,106;94,107;95,81;95,82;95,83;95,94;95,96;95,106;95,107;95,108;96,82;96,95;104,93;105,93;105,94;105,106;106,93;106,94;106,95;106,105;106,107;107,94;107,95;107,106;108,95",54
44,"80,81;80,94;81,80;81,82;81,93;81,94;81,95;82,81;82,83;82,94;82,95;82,96;83,82;83,95;83,96;93,81;93,94;94,80;94,81;94,82;94,93;94,95;94,105;94,106;94,107;95,81;95,82;95,83;95,94;95,96;95,106;95,107;95,108;96,82;96,83;96,95;105,94;106,94;106,95;106,107;107,94;107,95;107,106;108,95",44
45,"81,82;81,94;81,95;82,81;82,83;82,94;82,95;82,96;83,82;83,84;83,95;83,96;83,97;84,83;84,96;94,81;94,82;94,95;95,81;95,82;95,83;95,94;95,96;95,106;95,107;95,108;96,82;96,83;96,84;96,95;96,97;96,107;96,108;96,109;97,83;97,96;106,95;107,95;107,96;107,108;108,95;108,96;108,107;109,96",44
46,"83,97;84,96;84,97;85,97;95,108;96,84;96,97;96,108;96,109;97,83;97,84;97,85;97,96;97,108;97,109;97,110;98,110;107,108;108,95;108,96;108,97;108,107;108,109;109,96;109,97;109,108;109,110;110,97;110,98;110,109;110,111;111,110",32
47,"81,95;82,95;82,96;83,95;83,96;83,97;84,96;84,97;85,97;94,95;95,81;95,82;95,83;95,94;95,96;95,106;95,107;95,108;96,82;96,83;96,84;96,95;96,97;96,107;96,108;96,109;97,83;97,84;97,85;97,96;97,108;97,109;97,110;106,95;107,95;107,96;107,108;108,95;108,96;108,97;108,107;108,109;109,96;109,97;109,108;110,97",46
