edge_start_node,edge_end_node,visible_segments,segment_count
50,58,25;26;30;23,4
50,59,26;30,2
50,60,30,1
51,42,30,1
51,43,,0
51,44,,0
51,50,30,1
51,52,,0
51,59,26;30,2
51,60,,0
51,61,,0
52,43,,0
52,44,,0
52,51,,0
52,60,,0
52,61,,0
53,45,,0
53,46,0,1
53,54,,0
53,62,,0
53,63,8;9,2
54,45,,0
54,46,0,1
54,53,,0
54,62,,0
54,63,8;9,2
55,47,3;4;5;7,4
55,48,3;4;5;39;7;40,6
55,56,3;4;5;7,4
55,63,3;4;5;7;8;9,6
55,64,3;4;5;7;8,5
55,65,3;4;5;7;10;13,6
56,47,3;4;5;39;7;40,6
56,48,3;4;5;39;7;40,6
56,55,3;4;5;7,4
56,64,4;5;7;8;10,5
56,65,4;5;7;10;13,5
57,49,34;35;23;26;28,5
57,58,35;23;25;26;28,5
57,66,35;20;23;25;26;28,6
57,67,35;20;23;25;26;28,6
58,49,25;26;34;23,4
58,50,25;26;30;23,4
58,57,35;23;25;26;28,5
58,59,25;26;23,3
58,66,20;23;25;26;28,5
58,67,20;23;25;26;28,5
58,68,25;26;21;23,4
59,49,25;26;34,3
59,50,26;30,2
59,51,26;30,2
59,58,25;26;23,3
59,60,26;30,2
59,67,25;26;20;28,4
59,68,25;26;21,3
59,69,26,1
60,50,30,1
60,51,,0
60,52,,0
60,59,26;30,2
60,61,,0
60,68,25;21,2
60,69,,0
60,70,,0
61,51,,0
61,52,,0
61,60,,0
61,69,,0
61,70,,0
62,53,,0
62,54,,0
62,63,8;9,2
62,71,,0
62,72,8;9,2
63,53,8;9,2
63,54,8;9,2
63,55,3;4;5;7;8;9,6
63,62,8;9,2
63,64,8;9;4;5,4
63,71,8;9,2
63,72,8;9,2
63,73,8;9;5,3
64,55,3;4;5;7;8,5
64,56,4;5;7;8;10,5
64,63,8;9;4;5,4
64,65,4;5;7;8;10;13,6
64,72,8;9;4;5,4
64,73,8;9;4;5,4
65,55,3;4;5;7;10;13,6
65,56,4;5;7;10;13,5
65,64,4;5;7;8;10;13,6
66,57,35;20;23;25;26;28,6
66,58,20;23;25;26;28,5
66,67,20;23;25;26;28,5
67,57,35;20;23;25;26;28,6
67,58,20;23;25;26;28,5
67,59,25;26;20;28,4
67,66,20;23;25;26;28,5
67,68,20;21;25;26;28,5
67,74,20;21;25;26;28,5
67,75,20;21;25;26;28,5
68,58,25;26;21;23,4
68,59,25;26;21,3
68,60,25;21,2
68,67,20;21;25;26;28,5
68,69,25;21,2
68,74,25;21,2
68,75,25;21,2
68,76,25;21,2
69,59,26,1
69,60,,0
69,61,,0
69,68,25;21,2
69,70,,0
69,75,21,1
69,76,,0
69,77,,0
70,60,,0
70,61,,0
70,69,,0
70,76,,0
70,77,,0
71,62,,0
71,63,8;9,2
71,72,8;9,2
71,78,,0
71,79,8;9,2
72,62,8;9,2
72,63,8;9,2
72,64,8;9;4;5,4
72,71,8;9,2
72,73,8;9;5,3
72,78,8;9,2
72,79,8;9,2
72,80,8;9,2
73,63,8;9;5,3
73,64,8;9;4;5,4
73,72,8;9;5,3
73,79,8;9,2
73,80,8;9,2
74,67,20;21;25;26;28,5
74,68,25;21,2
74,75,25;21,2
74,87,25;21,2
74,88,25;21,2
75,67,20;21;25;26;28,5
75,68,25;21,2
75,69,21,1
75,74,25;21,2
75,76,21,1
75,87,21,1
75,88,21,1
75,89,21,1
76,68,25;21,2
76,69,,0
76,70,,0
76,75,21,1
76,77,,0
76,88,21,1
76,89,,0
76,90,,0
77,69,,0
77,70,,0
77,76,,0
77,89,,0
77,90,,0
78,71,,0
78,72,8;9,2
78,79,8;9,2
78,91,,0
78,92,85,1
79,71,8;9,2
79,72,8;9,2
79,73,8;9,2
79,78,8;9,2
79,80,8;9,2
79,91,8;9,2
79,92,8;9;85,3
79,93,8;9;43,3
80,72,8;9,2
80,73,8;9,2
80,79,8;9,2
80,81,43;44,2
80,92,85,1
80,93,43,1
80,94,43;11;12;44,4
81,80,43;44,2
81,82,11;43;12;45;44,5
81,93,43;44,2
81,94,43;11;12;45;44,5
81,95,43;11;12;44;15;45;47,7
82,81,11;43;12;45;44,5
82,83,12;45;44;15;18,5
82,94,43;11;12;45;44,5
82,95,43;11;12;44;15;45;47,7
82,96,43;12;45;44;15;16;47;48;49,9
83,82,12;45;44;15;18,5
83,84,16;18;45;15,4
83,95,43;11;12;44;15;45;47;18,8
83,96,12;45;44;15;16;47;18;48;49,9
83,97,45;46;15;16;17;18;47;48;49;50;51,11
84,83,16;18;45;15,4
84,85,15;16;17;18;22;24,6
84,96,12;45;46;15;16;47;18;48;49,9
84,97,46;15;16;17;18;47;48;49;50;51,10
85,84,15;16;17;18;22;24,6
85,86,17;18;51;52;19;22,6
85,97,46;15;16;17;18;47;48;49;22;50;51,11
85,98,17;18;19;49;52;22;51;50,8
86,85,17;18;19;52;51;22,6
86,87,52,1
86,98,17;50;19;52;49,5
86,99,52;53,2
87,74,25;21,2
87,75,21,1
87,86,52,1
87,88,21,1
87,98,17;19;52;49,4
87,99,52;53,2
87,100,53,1
88,74,25;21,2
88,75,21,1
88,76,21,1
88,87,21,1
88,89,21,1
88,99,53;52;21,3
88,100,53;21,2
88,101,21,1
89,75,21,1
89,76,,0
89,77,,0
89,88,21,1
